age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
53.0,Private,9.0,Never-married,Exec-managerial,Not-in-family,White,0,4265.0,7.0,38.0,1
20.0,Private,12.0,Never-married,Tech-support,Own-child,White,0,4423.0,16.0,57.0,0
52.0,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,1,3735.0,201.0,40.0,0
30.0,Private,13.0,Divorced,Adm-clerical,Unmarried,Black,0,1939.0,59.0,25.0,0
47.0,Private,14.0,Married-civ-spouse,Prof-specialty,Wife,White,0,39429.0,1821.0,94.0,1
33.0,,4.0,Separated,,Unmarried,Black,0,2006.0,136.0,14.0,0
30.0,Private,9.0,Married-civ-spouse,Sales,Husband,White,1,4178.0,75.0,19.0,0
53.0,?,6.0,Married-civ-spouse,?,Husband,White,1,4843.0,58.0,54.0,0
21.0,Private,8.0,Never-married,Prof-specialty,Own-child,White,0,44992.0,1.0,61.0,0
22.0,Private,10.0,Never-married,Sales,Not-in-family,White,0,3680.0,100.0,50.0,0
20.0,Private,3.0,Never-married,Craft-repair,Own-child,White,1,3903.0,40.0,25.0,0
29.0,Local-gov,11.0,Married-civ-spouse,Prof-specialty,Wife,White,0,1355.0,190.0,43.0,1
24.0,Private,12.0,Never-married,Adm-clerical,Own-child,White,0,3770.0,86.0,16.0,0
30.0,Private,3.0,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,1,4256.0,210.0,41.0,0
68.0,Federal-gov,9.0,Married-civ-spouse,Adm-clerical,Husband,White,1,44309.0,113.0,37.0,0
45.0,Private,16.0,Married-civ-spouse,Adm-clerical,Wife,White,0,4266.0,1861.0,94.0,1
70.0,?,11.0,Married-civ-spouse,Farming-fishing,Husband,White,1,3057.0,2206.0,59.0,1
38.0,Private,13.0,Married-civ-spouse,Sales,Husband,White,1,3931.0,3322.0,57.0,1
23.0,?,11.0,Never-married,?,Own-child,White,1,3544.0,60.0,63.0,0
54.0,State-gov,13.0,Divorced,Adm-clerical,Unmarried,White,0,3623.0,84.0,40.0,0
22.0,Private,14.0,Never-married,Transport-moving,Own-child,White,1,923.0,2559.0,5.0,0
31.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,1,4771.0,111.0,51.0,0
32.0,Local-gov,11.0,Never-married,Other-service,Not-in-family,Black,0,1775.0,66.0,37.0,0
33.0,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,1,962.0,12.0,37.0,0
38.0,Private,10.0,Never-married,Sales,Not-in-family,White,0,3889.0,85.0,16.0,0
32.0,Private,13.0,Married-civ-spouse,Craft-repair,Husband,White,1,573.0,171.0,36.0,1
41.0,Private,12.0,Married-civ-spouse,Transport-moving,Husband,Black,1,1999.0,215.0,64.0,0
18.0,Private,3.0,Never-married,Sales,Own-child,White,1,3580.0,4095.0,68.0,0
57.0,Without-pay,5.0,Married-civ-spouse,Craft-repair,Husband,White,1,2650.0,1937.0,55.0,0
38.0,Local-gov,14.0,Married-civ-spouse,Prof-specialty,Husband,White,1,833.0,83.0,37.0,1
33.0,Private,14.0,Never-married,Exec-managerial,Not-in-family,White,1,1198.0,142.0,51.0,0
21.0,Local-gov,7.0,Never-married,Adm-clerical,Own-child,White,0,827.0,2491.0,2.0,0
44.0,Federal-gov,14.0,Married-civ-spouse,Tech-support,Husband,Black,1,28418.0,3419.0,41.0,1
37.0,Local-gov,13.0,Divorced,Other-service,Unmarried,White,0,1470.0,4135.0,87.0,0
61.0,?,4.0,Widowed,?,Wife,Other,1,4748.0,171.0,67.0,0
43.0,Private,12.0,Widowed,Sales,Husband,White,1,2268.0,951.0,32.0,1
48.0,Private,10.0,Divorced,Adm-clerical,Unmarried,White,0,3536.0,74.0,37.0,1
38.0,Self-emp-inc,11.0,Never-married,Farming-fishing,Not-in-family,White,1,1386.0,2191.0,88.0,0
55.0,Local-gov,2.0,Married-civ-spouse,?,Husband,White,1,2583.0,38.0,18.0,1
24.0,?,14.0,Separated,Craft-repair,Not-in-family,Other,1,95148.0,193.0,83.0,0
55.0,Private,15.0,Married-civ-spouse,Prof-specialty,Husband,Black,1,3628.0,46.0,43.0,1
53.0,Private,14.0,Married-civ-spouse,Handlers-cleaners,Husband,White,1,648.0,193.0,19.0,0
27.0,State-gov,16.0,Married-AF-spouse,Adm-clerical,Not-in-family,Black,0,1901.0,188.0,74.0,0
88.0,Private,6.0,Separated,Adm-clerical,Own-child,White,0,1646.0,4060.0,22.0,1
48.0,Federal-gov,13.0,Married-civ-spouse,Exec-managerial,Husband,White,1,1839.0,3899.0,71.0,1
34.0,Self-emp-not-inc,9.0,Divorced,Other-service,Unmarried,White,0,1011.0,93.0,38.0,0
33.0,Private,15.0,Married-civ-spouse,Farming-fishing,Husband,Black,1,54908.0,144.0,91.0,0
30.0,Private,9.0,Never-married,Craft-repair,Not-in-family,White,1,2282.0,18.0,39.0,0
44.0,Private,3.0,Married-civ-spouse,Prof-specialty,Wife,Black,0,3915.0,4310.0,88.0,1
32.0,Self-emp-not-inc,15.0,Never-married,Sales,Unmarried,White,1,4851.0,125.0,22.0,0
18.0,Private,9.0,Never-married,Craft-repair,Not-in-family,White,0,96424.0,82.0,36.0,0
27.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,1,4408.0,83.0,70.0,0
49.0,?,4.0,Divorced,?,Unmarried,White,0,21315.0,166.0,45.0,0
48.0,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,White,1,2712.0,54.0,58.0,1
76.0,Private,4.0,Married-spouse-absent,Exec-managerial,Other-relative,Asian-Pac-Islander,0,14807.0,49.0,61.0,1
20.0,Private,15.0,Never-married,Exec-managerial,Not-in-family,White,0,4440.0,59.0,15.0,0
31.0,Private,9.0,Separated,Craft-repair,Other-relative,Black,1,1578.0,183.0,37.0,0
71.0,Federal-gov,12.0,Married-civ-spouse,Protective-serv,Own-child,White,0,1856.0,2350.0,6.0,0
35.0,Private,6.0,Never-married,Adm-clerical,Not-in-family,Black,0,2530.0,764.0,81.0,0
49.0,Self-emp-inc,9.0,Divorced,Transport-moving,Not-in-family,White,1,1331.0,148.0,70.0,0
24.0,Local-gov,10.0,Never-married,Prof-specialty,Not-in-family,White,0,3240.0,54.0,50.0,0
26.0,Private,13.0,Never-married,Sales,Unmarried,Black,0,2584.0,81.0,40.0,1
18.0,Private,9.0,Never-married,Craft-repair,Own-child,White,1,990.0,91.0,37.0,0
20.0,State-gov,9.0,Never-married,Adm-clerical,Not-in-family,White,1,1454.0,22.0,40.0,0
33.0,Private,8.0,Married-civ-spouse,Exec-managerial,Husband,White,1,25.0,2319.0,67.0,1
78.0,State-gov,11.0,Divorced,Adm-clerical,Unmarried,White,0,1083.0,125.0,35.0,0
42.0,Private,2.0,Divorced,Sales,Unmarried,Black,0,2683.0,179.0,41.0,0
28.0,Self-emp-not-inc,10.0,Never-married,Craft-repair,Own-child,White,1,1646.0,2467.0,41.0,0
30.0,Private,10.0,Never-married,Adm-clerical,Unmarried,White,0,32598.0,179.0,17.0,0
57.0,Private,2.0,Married-civ-spouse,Craft-repair,Husband,White,1,188.0,2021.0,94.0,0
52.0,State-gov,10.0,Never-married,Prof-specialty,Unmarried,White,0,1229.0,1381.0,46.0,1
26.0,Private,14.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,1,3848.0,2368.0,87.0,0
23.0,Private,10.0,Separated,Exec-managerial,Unmarried,White,0,97554.0,310.0,75.0,0
32.0,Private,3.0,Never-married,Craft-repair,Own-child,White,1,79763.0,202.0,71.0,0
28.0,Private,5.0,Never-married,Adm-clerical,Not-in-family,White,1,40224.0,15.0,3.0,0
31.0,?,14.0,Married-civ-spouse,?,Husband,White,1,3962.0,122.0,18.0,0
17.0,?,10.0,Never-married,?,Own-child,Asian-Pac-Islander,0,433.0,70.0,96.0,0
81.0,Private,5.0,Married-civ-spouse,Adm-clerical,Husband,White,1,2611.0,2265.0,92.0,0
37.0,Private,10.0,Never-married,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,1,50465.0,148.0,68.0,0
41.0,,3.0,Married-civ-spouse,,Wife,White,0,4719.0,81.0,38.0,0
27.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,White,1,16927.0,25.0,53.0,0
29.0,Private,8.0,Married-civ-spouse,Machine-op-inspct,Husband,White,1,4097.0,23.0,37.0,1
38.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,1,956.0,212.0,38.0,1
32.0,?,16.0,Married-civ-spouse,?,Husband,White,1,951.0,117.0,79.0,0
65.0,Self-emp-not-inc,12.0,Widowed,Prof-specialty,Not-in-family,White,0,4290.0,3637.0,77.0,1
35.0,Private,11.0,Never-married,Sales,Not-in-family,White,1,4420.0,4239.0,86.0,0
40.0,Private,16.0,Divorced,Exec-managerial,Not-in-family,White,0,3554.0,47.0,13.0,0
49.0,Private,11.0,Divorced,Other-service,Not-in-family,White,0,89432.0,98.0,21.0,0
54.0,Private,6.0,Married-civ-spouse,Farming-fishing,Husband,White,1,4569.0,71.0,57.0,0
54.0,Private,12.0,Divorced,Tech-support,Unmarried,White,0,56598.0,2281.0,90.0,0
30.0,Self-emp-not-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,1,679.0,217.0,43.0,0
28.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,1,4799.0,1495.0,6.0,1
41.0,Private,9.0,Married-civ-spouse,Other-service,Husband,White,1,31282.0,115.0,36.0,0
39.0,Private,2.0,Married-civ-spouse,Machine-op-inspct,Husband,White,1,404.0,216.0,24.0,0
77.0,Private,5.0,Widowed,Exec-managerial,Own-child,White,0,141.0,149.0,96.0,0
49.0,Private,9.0,Never-married,Exec-managerial,Not-in-family,White,1,3713.0,186.0,4.0,0
35.0,Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,1,54927.0,41.0,27.0,0
49.0,Private,12.0,Never-married,Transport-moving,Own-child,White,1,1882.0,1737.0,91.0,1
41.0,Private,5.0,Married-civ-spouse,Other-service,Husband,White,1,848.0,61.0,35.0,0
45.0,Local-gov,14.0,Never-married,Protective-serv,Not-in-family,White,1,3962.0,3787.0,86.0,0
59.0,Private,9.0,Married-civ-spouse,Adm-clerical,Husband,White,1,6707.0,118.0,47.0,0
18.0,Private,14.0,Never-married,Farming-fishing,Own-child,White,1,1434.0,61.0,23.0,0
42.0,Private,13.0,Married-civ-spouse,Handlers-cleaners,Husband,White,1,1183.0,96.0,48.0,1
24.0,Self-emp-not-inc,8.0,Never-married,Craft-repair,Not-in-family,White,1,4363.0,1894.0,38.0,0
46.0,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,1,18273.0,2496.0,51.0,1
64.0,Private,15.0,Married-AF-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,1,3472.0,104.0,16.0,1
36.0,Private,14.0,Divorced,Exec-managerial,Unmarried,White,0,9431.0,28.0,54.0,0
32.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,1,2181.0,190.0,38.0,1
18.0,Private,15.0,Never-married,Other-service,Own-child,White,1,2877.0,31.0,40.0,0
24.0,Self-emp-inc,10.0,Married-civ-spouse,Prof-specialty,Husband,White,1,8153.0,204.0,31.0,0
28.0,Self-emp-inc,2.0,Never-married,Sales,Own-child,White,1,4407.0,119.0,35.0,0
17.0,Private,10.0,Never-married,Sales,Not-in-family,Black,1,1310.0,2158.0,39.0,0
33.0,Local-gov,14.0,Divorced,Adm-clerical,Unmarried,White,0,2988.0,112.0,35.0,0
68.0,Private,6.0,Divorced,Exec-managerial,Other-relative,White,1,2445.0,212.0,38.0,1
47.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,1,4834.0,176.0,36.0,0
51.0,Private,12.0,Married-civ-spouse,Exec-managerial,Husband,White,1,3511.0,118.0,82.0,1
34.0,State-gov,8.0,Never-married,Other-service,Unmarried,White,1,333.0,61.0,36.0,0
18.0,Private,11.0,Never-married,Other-service,Own-child,White,1,305.0,122.0,31.0,0
51.0,Local-gov,14.0,Married-civ-spouse,Other-service,Husband,White,1,2406.0,41.0,46.0,0
41.0,?,12.0,Never-married,Adm-clerical,Not-in-family,White,0,4643.0,76.0,30.0,0
21.0,Private,10.0,Never-married,Adm-clerical,Own-child,White,1,28822.0,136.0,36.0,0
43.0,Private,8.0,Married-civ-spouse,Craft-repair,Husband,White,1,303.0,207.0,28.0,0
21.0,Private,7.0,Never-married,Other-service,Own-child,White,0,3243.0,199.0,16.0,0
54.0,Self-emp-inc,1.0,Widowed,Farming-fishing,Unmarried,White,1,51933.0,50.0,76.0,0
29.0,Private,6.0,Never-married,Sales,Not-in-family,White,0,2220.0,3781.0,13.0,1
38.0,Private,9.0,Divorced,Adm-clerical,Unmarried,Black,0,4428.0,192.0,71.0,0
60.0,Private,7.0,Married-civ-spouse,Other-service,Wife,White,0,10870.0,9.0,55.0,0
31.0,Self-emp-inc,9.0,Married-civ-spouse,Exec-managerial,Husband,White,1,96671.0,42.0,62.0,1
32.0,State-gov,13.0,Married-civ-spouse,Exec-managerial,Husband,White,1,120.0,207.0,51.0,1
41.0,Private,3.0,Divorced,Sales,Unmarried,Other,0,1531.0,175.0,25.0,0
57.0,Private,15.0,Divorced,Machine-op-inspct,Not-in-family,White,1,551.0,112.0,8.0,0
83.0,Private,14.0,Separated,Prof-specialty,Wife,Other,1,3164.0,2124.0,95.0,1
30.0,Self-emp-not-inc,9.0,Never-married,Sales,Own-child,White,1,1363.0,120.0,36.0,0
35.0,Private,9.0,Divorced,Craft-repair,Not-in-family,Black,0,25741.0,156.0,41.0,0
29.0,Without-pay,10.0,Never-married,Exec-managerial,Not-in-family,White,0,973.0,125.0,35.0,0
18.0,Local-gov,8.0,Never-married,Prof-specialty,Other-relative,White,0,1691.0,213.0,61.0,0
30.0,Local-gov,10.0,Never-married,Exec-managerial,Not-in-family,White,0,1004.0,37.0,52.0,0
41.0,Private,5.0,Never-married,Craft-repair,Not-in-family,White,1,17582.0,155.0,66.0,0
18.0,Private,9.0,Never-married,Craft-repair,Not-in-family,Black,0,1662.0,175.0,36.0,0
33.0,?,8.0,Married-civ-spouse,?,Wife,White,0,96812.0,132.0,38.0,0
44.0,Private,14.0,Married-civ-spouse,Sales,Husband,White,1,2820.0,329.0,66.0,1
59.0,Private,7.0,Married-civ-spouse,Exec-managerial,Husband,White,1,4302.0,1122.0,25.0,1
33.0,State-gov,10.0,Married-civ-spouse,Tech-support,Husband,White,1,90244.0,2216.0,74.0,0
40.0,Self-emp-inc,9.0,Never-married,Exec-managerial,Not-in-family,White,1,2560.0,45.0,38.0,1
33.0,Federal-gov,14.0,Married-civ-spouse,Prof-specialty,Husband,White,1,4624.0,2146.0,92.0,0
35.0,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,1,2119.0,141.0,62.0,1
40.0,State-gov,11.0,Never-married,Exec-managerial,Own-child,White,1,2681.0,165.0,39.0,1
30.0,Private,10.0,Never-married,Other-service,Not-in-family,White,1,1184.0,136.0,61.0,0
54.0,Private,16.0,Married-civ-spouse,Machine-op-inspct,Husband,White,1,760.0,76.0,34.0,0
49.0,,12.0,Never-married,,Not-in-family,White,0,8879.0,21.0,98.0,0
66.0,Private,13.0,Married-civ-spouse,Tech-support,Husband,Black,1,1341.0,120.0,38.0,1
28.0,Private,13.0,Separated,Other-service,Unmarried,White,0,769.0,154.0,39.0,0
36.0,Private,14.0,Married-civ-spouse,Sales,Not-in-family,Amer-Indian-Eskimo,1,17221.0,56.0,39.0,1
40.0,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,1,7642.0,119.0,53.0,1
46.0,Private,11.0,Divorced,Adm-clerical,Unmarried,White,0,2257.0,200.0,36.0,0
44.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,1,1197.0,143.0,58.0,0
22.0,Private,8.0,Never-married,Adm-clerical,Not-in-family,White,1,1250.0,113.0,35.0,0
33.0,Private,11.0,Married-civ-spouse,Sales,Husband,White,1,1658.0,1992.0,41.0,1
28.0,Private,1.0,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,0,59912.0,197.0,91.0,0
34.0,Private,14.0,Divorced,Sales,Not-in-family,Other,0,3662.0,138.0,55.0,0
19.0,Local-gov,8.0,Never-married,Adm-clerical,Own-child,White,1,3162.0,1054.0,50.0,0
31.0,Private,10.0,Never-married,Adm-clerical,Own-child,White,0,2768.0,211.0,70.0,0
44.0,Private,11.0,Married-civ-spouse,Other-service,Husband,White,1,3837.0,133.0,28.0,0
26.0,Private,9.0,Never-married,Sales,Own-child,White,0,962.0,182.0,62.0,0
45.0,?,13.0,Never-married,?,Not-in-family,White,0,1392.0,138.0,30.0,0
28.0,Self-emp-not-inc,14.0,Never-married,Sales,Own-child,White,1,3814.0,31.0,17.0,0
54.0,Private,5.0,Widowed,Other-service,Unmarried,White,0,4316.0,179.0,66.0,0
33.0,Private,13.0,Married-civ-spouse,Tech-support,Husband,White,1,1830.0,2111.0,23.0,1
29.0,Private,6.0,Married-civ-spouse,Sales,Husband,White,1,496.0,207.0,46.0,0
30.0,Private,11.0,Married-spouse-absent,Craft-repair,Unmarried,White,1,1067.0,87.0,38.0,0
18.0,Private,9.0,Never-married,Machine-op-inspct,Own-child,White,1,25733.0,129.0,36.0,0
42.0,Private,14.0,Married-civ-spouse,Prof-specialty,Wife,White,0,400.0,149.0,36.0,1
30.0,Private,14.0,Married-civ-spouse,Adm-clerical,Husband,White,1,3529.0,158.0,98.0,1
22.0,Local-gov,11.0,Never-married,Prof-specialty,Other-relative,White,0,601.0,216.0,63.0,0
40.0,Private,11.0,Divorced,Prof-specialty,Unmarried,White,0,95346.0,206.0,95.0,0
52.0,Private,14.0,Married-civ-spouse,Craft-repair,Husband,White,1,1684.0,1961.0,38.0,1
44.0,Private,16.0,Separated,Handlers-cleaners,Not-in-family,White,1,92499.0,848.0,82.0,0
27.0,Private,9.0,Never-married,Adm-clerical,Other-relative,Black,1,95593.0,1914.0,39.0,1
39.0,Private,12.0,Never-married,Craft-repair,Not-in-family,White,1,2978.0,113.0,49.0,0
33.0,Private,12.0,Married-civ-spouse,Prof-specialty,Wife,White,0,1960.0,156.0,41.0,1
33.0,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,0,4088.0,135.0,38.0,0
29.0,Self-emp-not-inc,11.0,Married-civ-spouse,Craft-repair,Husband,White,1,4146.0,83.0,40.0,0
41.0,Self-emp-not-inc,3.0,Married-civ-spouse,Craft-repair,Husband,White,1,1830.0,17.0,51.0,1
84.0,Private,16.0,Married-spouse-absent,Exec-managerial,Other-relative,Asian-Pac-Islander,1,2950.0,110.0,38.0,1
30.0,Self-emp-not-inc,15.0,Never-married,Prof-specialty,Unmarried,Black,0,1831.0,155.0,39.0,1
38.0,Private,16.0,Never-married,Sales,Own-child,White,1,93748.0,128.0,52.0,0
35.0,Private,6.0,Never-married,Adm-clerical,Not-in-family,White,0,624.0,636.0,40.0,0
30.0,Private,13.0,Married-spouse-absent,Sales,Unmarried,White,0,717.0,73.0,51.0,0
47.0,Self-emp-not-inc,10.0,Married-civ-spouse,Farming-fishing,Husband,White,1,4149.0,186.0,49.0,1
33.0,Private,8.0,Never-married,Prof-specialty,Not-in-family,White,0,620.0,2443.0,70.0,1
64.0,State-gov,14.0,Married-civ-spouse,Prof-specialty,Husband,White,1,4750.0,175.0,54.0,1
57.0,Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,1,2026.0,39.0,81.0,0
20.0,Private,11.0,Never-married,Sales,Other-relative,White,0,885.0,89.0,41.0,0
40.0,Private,10.0,Separated,Sales,Other-relative,Asian-Pac-Islander,1,18148.0,59.0,50.0,1
43.0,Private,12.0,Never-married,Craft-repair,Not-in-family,White,1,4156.0,142.0,8.0,0
23.0,Self-emp-not-inc,10.0,Married-civ-spouse,Craft-repair,Husband,White,1,30252.0,7.0,38.0,0
36.0,Federal-gov,9.0,Never-married,Adm-clerical,Own-child,White,0,2263.0,68.0,37.0,0
42.0,,7.0,Divorced,,Not-in-family,White,0,59707.0,2976.0,94.0,0
24.0,Private,2.0,Never-married,Adm-clerical,Own-child,White,0,4049.0,2277.0,91.0,0
29.0,Private,9.0,Never-married,Craft-repair,Not-in-family,White,1,2867.0,93.0,16.0,0
34.0,Private,8.0,Never-married,Other-service,Own-child,White,1,3571.0,156.0,30.0,0
44.0,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,1,931.0,38.0,68.0,0
25.0,Private,12.0,Never-married,Adm-clerical,Own-child,White,0,1094.0,10.0,18.0,0
52.0,Self-emp-inc,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,1,57818.0,20.0,38.0,1
35.0,Private,11.0,Never-married,Craft-repair,Unmarried,White,1,3899.0,111.0,38.0,0
31.0,Private,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,1,983.0,16.0,76.0,0
19.0,Private,9.0,Never-married,Transport-moving,Own-child,White,1,3310.0,108.0,11.0,0
79.0,Local-gov,15.0,Widowed,Prof-specialty,Unmarried,White,0,2167.0,169.0,52.0,1
28.0,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,1,4700.0,194.0,51.0,0
34.0,Self-emp-inc,13.0,Never-married,Exec-managerial,Not-in-family,White,0,7533.0,3409.0,55.0,1
49.0,Private,9.0,Divorced,Craft-repair,Not-in-family,White,1,2760.0,141.0,36.0,0
65.0,Self-emp-not-inc,6.0,Married-civ-spouse,Sales,Husband,White,1,15784.0,62.0,69.0,1
53.0,Private,6.0,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,0,1212.0,3215.0,55.0,0
50.0,Private,10.0,Divorced,Exec-managerial,Not-in-family,White,0,2297.0,124.0,39.0,0
24.0,Private,10.0,Never-married,Prof-specialty,Not-in-family,White,1,3031.0,35.0,16.0,0
37.0,Private,15.0,Divorced,Adm-clerical,Not-in-family,White,1,862.0,146.0,36.0,0
25.0,?,2.0,Never-married,Other-service,Own-child,White,0,3557.0,210.0,40.0,0
33.0,Private,14.0,Never-married,Transport-moving,Not-in-family,White,1,3479.0,3618.0,5.0,1
37.0,Private,11.0,Married-civ-spouse,Sales,Husband,White,1,4980.0,36.0,50.0,0
31.0,Without-pay,9.0,Never-married,Machine-op-inspct,Not-in-family,White,0,2559.0,186.0,53.0,0
24.0,Private,6.0,Never-married,Craft-repair,Own-child,Black,1,3122.0,4353.0,68.0,0
25.0,State-gov,11.0,Never-married,Adm-clerical,Unmarried,White,0,2747.0,29.0,54.0,0
44.0,State-gov,15.0,Married-civ-spouse,Exec-managerial,Husband,Black,1,1169.0,204.0,53.0,1
23.0,Private,14.0,Never-married,Craft-repair,Own-child,White,1,1254.0,3238.0,5.0,0
55.0,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,1,3733.0,176.0,52.0,0
64.0,?,5.0,Divorced,Priv-house-serv,Not-in-family,White,0,77085.0,54.0,48.0,0
18.0,Private,11.0,Never-married,Prof-specialty,Own-child,White,0,1919.0,3617.0,8.0,0
28.0,Private,11.0,Never-married,Exec-managerial,Own-child,Black,1,3593.0,19.0,44.0,0
24.0,,13.0,Never-married,,Not-in-family,White,0,98405.0,2284.0,92.0,0
38.0,Private,3.0,Never-married,Craft-repair,Not-in-family,White,0,35303.0,62.0,37.0,0
19.0,Private,14.0,Never-married,Exec-managerial,Not-in-family,White,1,4264.0,147.0,39.0,0
28.0,Federal-gov,12.0,Never-married,Adm-clerical,Own-child,White,1,3610.0,113.0,37.0,0
31.0,Private,14.0,Married-civ-spouse,Adm-clerical,Husband,White,1,2173.0,177.0,36.0,0
57.0,Private,2.0,Married-civ-spouse,Farming-fishing,Husband,White,1,8598.0,2663.0,98.0,1
35.0,Private,11.0,Never-married,Other-service,Unmarried,Black,0,3413.0,141.0,18.0,0
23.0,Private,12.0,Never-married,Craft-repair,Not-in-family,White,1,4091.0,4274.0,86.0,0
31.0,Private,9.0,Never-married,Machine-op-inspct,Own-child,White,1,3925.0,6.0,38.0,0
19.0,Private,9.0,Never-married,Sales,Own-child,White,1,66228.0,144.0,40.0,0
63.0,Private,12.0,Married-civ-spouse,Adm-clerical,Wife,White,0,2575.0,1705.0,77.0,1
24.0,Private,15.0,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,0,4291.0,4006.0,88.0,0
45.0,Private,5.0,Widowed,Handlers-cleaners,Own-child,Black,0,4265.0,158.0,43.0,0
59.0,,16.0,Never-married,,Wife,Amer-Indian-Eskimo,0,71395.0,114.0,26.0,0
81.0,Private,7.0,Widowed,Machine-op-inspct,Unmarried,White,0,61.0,1760.0,92.0,1
43.0,Private,9.0,Married-civ-spouse,Other-service,Husband,White,1,1919.0,145.0,26.0,0
19.0,Private,1.0,Never-married,Machine-op-inspct,Own-child,White,1,943.0,15.0,67.0,0
50.0,Self-emp-not-inc,10.0,Never-married,Prof-specialty,Not-in-family,White,0,3437.0,138.0,38.0,0
32.0,Self-emp-not-inc,13.0,Never-married,Craft-repair,Own-child,White,1,4435.0,203.0,33.0,0
77.0,Private,7.0,Never-married,Exec-managerial,Own-child,Black,1,2055.0,120.0,61.0,1
56.0,Private,10.0,Divorced,Adm-clerical,Unmarried,White,0,4115.0,96.0,38.0,0
34.0,Private,13.0,Never-married,Exec-managerial,Not-in-family,White,1,1887.0,2035.0,40.0,0
36.0,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,1,1892.0,28.0,37.0,1
