,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
30,33,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,1
31,50,,9,Divorced,,Not-in-family,White,0,0,0,40,0
32,29,Private,9,Never-married,Other-service,Not-in-family,White,1,2344,0,40,0
33,37,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,1,0,0,54,0
34,40,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
35,34,Self-emp-not-inc,5,Married-civ-spouse,Farming-fishing,Husband,White,1,2,0,40,0
36,52,Private,9,Married-civ-spouse,Transport-moving,Husband,White,1,3,0,40,0
37,20,?,10,Never-married,?,Not-in-family,White,0,0,0,11,0
38,43,Private,12,Never-married,Adm-clerical,Not-in-family,White,0,0,0,40,0
39,40,Private,10,Divorced,Exec-managerial,Not-in-family,White,0,2,0,40,0
40,52,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
41,34,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
42,61,Private,7,Widowed,Adm-clerical,Not-in-family,White,0,0,0,40,0
43,46,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,2,0,50,1
44,30,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,0
45,64,Self-emp-not-inc,10,Widowed,Exec-managerial,Not-in-family,White,0,0,0,50,1
46,36,Self-emp-not-inc,9,Separated,,Not-in-family,White,1,1,0,40,0
47,50,Private,9,Divorced,Craft-repair,Not-in-family,White,1,1,0,40,0
48,32,Private,13,Never-married,Sales,Not-in-family,White,1,2,0,40,0
49,60,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,0,0,0,11,0
50,52,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,40,1
51,32,Private,10,Never-married,Adm-clerical,Not-in-family,White,1,1,0,40,0
52,21,Private,9,Never-married,Transport-moving,Not-in-family,White,1,0,0,40,0
53,32,Private,3,Separated,Other-service,Unmarried,White,0,0,0,40,0
54,29,Private,9,Married-civ-spouse,Sales,Husband,White,0,0,0,40,0
55,30,Private,12,Married-civ-spouse,Prof-specialty,Wife,White,1,1,1934,40,1
56,35,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,2,0,50,0
57,47,Private,10,Divorced,Exec-managerial,Not-in-family,White,0,2,0,23,0
58,29,?,9,Married-civ-spouse,?,Wife,White,0,0,0,40,0
59,27,Private,9,Never-married,Adm-clerical,Not-in-family,White,1,0,0,25,0
60,18,Private,9,Never-married,Adm-clerical,Own-child,White,0,3,0,23,0
61,32,Private,10,Divorced,Handlers-cleaners,Not-in-family,White,1,0,0,40,0
62,36,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,0
63,31,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,1,0,0,50,0
64,45,Private,13,Divorced,Exec-managerial,Not-in-family,White,1,0,0,40,0
65,42,Private,10,Widowed,Exec-managerial,Unmarried,White,0,0,0,21,0
66,30,Private,7,Married-civ-spouse,Machine-op-inspct,Wife,White,0,0,0,40,0
67,28,Private,9,Married-civ-spouse,Tech-support,Husband,White,1,0,0,40,0
68,24,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,0,1,0,18,0
69,27,Private,9,Never-married,Other-service,Unmarried,White,0,0,0,40,0
70,31,Private,5,Never-married,Machine-op-inspct,Not-in-family,White,0,0,0,40,0
71,29,Private,9,Never-married,Other-service,Not-in-family,White,0,1,0,40,0
72,43,Private,13,Never-married,Exec-managerial,Not-in-family,White,1,2,0,40,0
73,67,?,9,Widowed,?,Wife,White,0,20,0,5,0
74,22,Private,10,Never-married,Other-service,Not-in-family,White,0,3,0,40,0
75,28,Private,10,Never-married,Sales,Unmarried,White,0,0,0,40,0
76,36,Private,10,Divorced,Sales,Not-in-family,White,0,0,0,40,0
77,44,Private,10,Divorced,Exec-managerial,Not-in-family,White,1,4449,0,40,1
78,38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,2,1755,40,1
79,19,Private,7,Never-married,Sales,Own-child,White,0,3,0,40,0
80,23,Private,13,Never-married,Adm-clerical,Own-child,White,0,0,0,18,0
81,38,Private,10,Divorced,Adm-clerical,Not-in-family,White,0,0,0,40,0
82,54,Private,14,Divorced,Exec-managerial,Not-in-family,White,1,15551,0,50,1
83,23,,9,Divorced,,Not-in-family,White,0,1,2280,40,0
84,31,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
85,36,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,1,1,0,40,0
86,41,Private,5,Separated,Farming-fishing,Not-in-family,White,1,1,0,40,0
87,37,Private,10,Married-civ-spouse,Craft-repair,Husband,White,1,2,0,40,1
88,28,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,0,1,0,40,0
89,60,?,9,Married-civ-spouse,?,Wife,White,0,0,0,6,0
90,39,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,40,0
91,34,Private,9,Separated,Other-service,Unmarried,White,0,0,0,40,0
92,45,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,0,0,0,40,0
93,26,Private,13,Never-married,Adm-clerical,Own-child,White,0,0,0,25,0
94,50,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,1
95,24,Private,10,Never-married,Craft-repair,Own-child,White,1,0,0,40,0
96,39,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
97,22,Private,10,Never-married,Other-service,Own-child,White,1,0,0,40,0
98,23,Private,13,Never-married,Adm-clerical,Not-in-family,White,0,0,0,40,0
99,54,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,1
100,43,Private,13,Widowed,Prof-specialty,Wife,White,0,14,1663,18,1
101,23,Private,10,Never-married,Adm-clerical,Own-child,White,0,1,0,40,0
102,19,?,10,Never-married,?,Own-child,White,0,1,0,8,0
103,37,Private,3,Married-civ-spouse,Other-service,Husband,White,1,0,0,40,1
104,22,Private,13,Never-married,Exec-managerial,Not-in-family,White,0,1,0,21,0
105,68,Self-emp-not-inc,14,Widowed,Prof-specialty,Not-in-family,White,0,20,0,50,1
106,45,Private,13,Separated,Exec-managerial,Not-in-family,White,1,1,0,40,1
107,39,Private,10,Separated,Other-service,Unmarried,White,0,1,0,40,0
108,23,Private,13,Never-married,Handlers-cleaners,Own-child,White,1,1,0,40,0
109,65,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,40,0
110,20,Private,10,Never-married,Prof-specialty,Own-child,White,1,0,0,19,0
111,22,Private,10,Never-married,Tech-support,Own-child,White,1,0,0,40,0
112,50,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
113,30,Private,10,Divorced,Exec-managerial,Not-in-family,White,1,2,0,40,0
114,39,Private,10,Widowed,Adm-clerical,Unmarried,White,0,0,0,40,0
115,51,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
116,20,Private,13,Never-married,Sales,Own-child,White,1,1,0,40,0
117,38,Private,10,Divorced,Transport-moving,Not-in-family,White,1,0,0,40,0
118,48,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,1,14986,0,40,1
119,32,Private,9,Married-civ-spouse,Sales,Husband,White,1,0,0,40,1
120,39,Federal-gov,12,Divorced,Prof-specialty,Not-in-family,White,0,0,0,40,1
121,28,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
122,24,?,9,Divorced,?,Unmarried,White,0,0,0,40,0
123,23,Private,9,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,0
124,33,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,2,0,40,1
125,18,Private,9,Never-married,Sales,Own-child,White,0,0,0,24,0
126,33,Private,10,Divorced,Adm-clerical,Unmarried,White,0,0,0,40,0
127,25,Private,10,Never-married,Exec-managerial,Not-in-family,White,0,1,0,23,0
128,56,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,1,1,0,40,0
129,43,Private,10,Married-civ-spouse,Sales,Husband,White,1,0,0,50,0
130,32,Private,12,Married-civ-spouse,Sales,Husband,White,1,2,0,50,1
131,30,Private,10,Divorced,Adm-clerical,Wife,White,0,0,0,40,0
132,55,,9,Divorced,,Not-in-family,White,1,0,0,40,0
133,38,Private,10,Never-married,Exec-managerial,Not-in-family,White,1,0,0,40,0
134,27,Private,9,Never-married,Machine-op-inspct,Own-child,White,1,0,0,40,0
135,20,Private,7,Never-married,Transport-moving,Own-child,White,1,0,0,40,0
136,45,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,2,0,40,1
137,32,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,1,1,0,40,0
138,19,Private,13,Never-married,Prof-specialty,Own-child,White,1,0,0,33,0
139,27,Private,13,Never-married,Prof-specialty,Not-in-family,White,0,0,0,40,0
140,37,Private,13,Divorced,Exec-managerial,Not-in-family,White,1,0,0,40,0
141,29,Private,9,Never-married,Craft-repair,Not-in-family,White,1,0,0,40,0
142,31,Private,9,Separated,Other-service,Unmarried,White,1,0,0,40,0
143,29,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,0
144,32,Private,13,Never-married,Tech-support,Not-in-family,White,1,0,0,50,0
145,44,Self-emp-not-inc,10,Divorced,Prof-specialty,Not-in-family,White,0,0,0,17,0
146,40,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,0,7522,0,11,1
147,52,Private,4,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,1
148,30,,9,Divorced,,Not-in-family,White,0,1,0,40,0
149,31,Self-emp-not-inc,10,Divorced,Prof-specialty,Not-in-family,White,0,1,0,37,0
150,34,Private,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,1
151,41,Local-gov,13,Divorced,Prof-specialty,Not-in-family,White,0,0,0,40,0
152,36,Private,9,Divorced,Adm-clerical,Unmarried,White,0,0,0,40,0
153,26,,9,Never-married,,Not-in-family,White,1,0,0,40,0
154,44,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,50,1
155,31,Private,13,Never-married,Sales,Own-child,White,1,2,0,40,0
156,26,Private,9,Never-married,Handlers-cleaners,Own-child,White,1,2,0,40,0
157,30,Private,7,Never-married,Other-service,Not-in-family,White,1,3,0,40,0
158,50,Private,9,Divorced,Transport-moving,Not-in-family,White,1,2,0,40,0
159,31,Private,9,Separated,Craft-repair,Unmarried,White,1,2,0,40,0
160,57,Self-emp-not-inc,3,Married-civ-spouse,Other-service,Wife,White,0,2,0,20,0
161,37,Private,13,Never-married,Exec-managerial,Not-in-family,White,1,0,0,50,1
162,41,Private,14,Never-married,Exec-managerial,Not-in-family,White,0,0,0,40,1
163,21,,7,Never-married,,Own-child,White,0,0,0,21,0
164,34,Private,9,Never-married,Adm-clerical,Not-in-family,White,0,0,0,40,0
165,60,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,1,2,0,50,0
166,36,Private,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
167,34,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,1,1,0,40,1
168,19,Private,9,Never-married,Machine-op-inspct,Own-child,White,0,0,0,40,0
169,35,Private,12,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,1
170,33,Private,9,Separated,Adm-clerical,Unmarried,Black,0,0,1,40,0
171,53,Private,9,Married-civ-spouse,Other-service,Husband,White,1,0,0,40,1
172,54,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,White,1,4,0,40,0
173,30,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,0,1,0,41,0
174,31,Private,13,Divorced,Prof-specialty,Not-in-family,White,1,0,1934,40,0
175,33,Private,13,Never-married,Adm-clerical,Not-in-family,White,0,0,1767,40,0
176,22,Private,13,Never-married,Exec-managerial,Unmarried,White,0,0,0,26,0
177,47,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,1
178,55,Private,4,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,0
179,50,Private,14,Divorced,Prof-specialty,Not-in-family,White,0,0,1748,40,0
180,49,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,0
181,61,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,1,4247,0,40,0
182,64,?,10,Married-civ-spouse,?,Wife,White,0,0,0,40,0
183,20,?,9,Never-married,?,Own-child,White,1,0,0,40,0
184,30,?,9,Married-civ-spouse,?,Wife,White,0,0,0,40,0
185,43,Private,13,Divorced,Prof-specialty,Not-in-family,White,1,0,0,40,0
186,20,Private,9,Never-married,Craft-repair,Own-child,White,1,0,0,22,0
187,29,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,0,0,0,40,0
188,22,Self-emp-not-inc,4,Never-married,Farming-fishing,Not-in-family,White,1,1,0,23,0
189,40,Private,10,Married-civ-spouse,Craft-repair,Husband,White,1,7602,0,40,1
190,22,Private,9,Never-married,Adm-clerical,Not-in-family,White,1,0,0,40,0
191,27,Private,13,Never-married,Exec-managerial,Own-child,White,1,2,0,40,0
192,32,Private,10,Never-married,Craft-repair,Not-in-family,White,1,0,0,40,0
193,21,,10,Never-married,,Own-child,White,0,1,0,40,0
194,19,Private,9,Never-married,Handlers-cleaners,Own-child,White,1,1,0,40,0
195,32,Private,10,Never-married,Adm-clerical,Not-in-family,White,0,0,0,40,0
196,31,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,1,3,0,40,0
197,26,,10,Never-married,,Own-child,White,1,2,0,40,0
198,28,Private,13,Never-married,Tech-support,Not-in-family,White,1,1,0,40,0
199,39,Private,10,Divorced,Craft-repair,Not-in-family,White,1,4511,0,40,0
200,25,?,15,Never-married,Prof-specialty,Own-child,White,0,0,0,12,0
201,28,Private,13,Never-married,Prof-specialty,Not-in-family,White,0,0,0,20,0
202,19,Private,13,Never-married,Tech-support,Not-in-family,White,1,0,0,40,0
203,24,State-gov,13,Never-married,Prof-specialty,Own-child,White,1,2,0,21,0
204,26,Private,10,Never-married,Other-service,Own-child,White,0,1,0,22,0
205,51,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,1,7626,0,50,1
206,20,Private,9,Never-married,Machine-op-inspct,Own-child,White,1,0,0,40,0
207,49,Private,10,Divorced,Exec-managerial,Not-in-family,White,0,1,1747,40,0
208,44,Private,12,Divorced,Prof-specialty,Not-in-family,White,1,0,0,40,0
209,26,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,1,1,0,40,0
210,28,Private,10,Never-married,Prof-specialty,Not-in-family,White,0,0,0,40,0
211,46,Self-emp-not-inc,9,Divorced,Farming-fishing,Not-in-family,White,1,3,0,40,0
212,44,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,1,0,0,50,1
213,58,Self-emp-not-inc,13,Divorced,Sales,Not-in-family,White,1,0,0,50,0
214,21,Private,10,Never-married,Sales,Own-child,White,1,2,0,40,0
215,28,Private,13,Never-married,Machine-op-inspct,Own-child,White,1,0,0,40,0
216,43,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,21,0
217,49,?,15,Married-civ-spouse,Prof-specialty,Husband,White,1,15158,0,11,1
218,24,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,1,0,0,40,0
219,24,Private,9,Separated,Handlers-cleaners,Unmarried,White,1,0,0,40,0
220,26,,10,Never-married,,Not-in-family,White,0,0,1734,23,0
221,30,Private,9,Never-married,Machine-op-inspct,Own-child,White,1,0,0,40,0
222,51,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
223,60,?,13,Married-civ-spouse,?,Husband,White,1,0,0,40,1
224,73,Self-emp-not-inc,10,Widowed,Prof-specialty,Not-in-family,White,0,9,0,10,0
225,28,Private,9,Married-civ-spouse,Transport-moving,Husband,White,1,1,0,40,0
226,34,Private,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,1,7,0,46,0
227,31,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,1
228,23,Private,5,Never-married,Farming-fishing,Not-in-family,White,1,0,0,18,0
229,33,Private,9,Divorced,Craft-repair,Unmarried,White,1,2,0,40,0
230,39,Private,10,Divorced,Sales,Not-in-family,White,1,1,0,50,0
231,23,Private,9,Never-married,Other-service,Not-in-family,White,0,0,0,40,0
232,43,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
233,57,Self-emp-not-inc,3,Married-civ-spouse,Farming-fishing,Husband,White,1,1,0,50,1
234,26,Private,9,Married-civ-spouse,Tech-support,Husband,White,1,3,0,45,0
235,59,Self-emp-not-inc,9,Divorced,Exec-managerial,Not-in-family,White,1,0,0,40,0
236,56,Private,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,1,0,0,40,0
237,30,Private,9,Divorced,Craft-repair,Not-in-family,White,1,0,0,40,0
238,50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,1,7490,0,40,1
239,47,Private,9,Divorced,Adm-clerical,Unmarried,White,0,0,0,40,0
240,45,Self-emp-not-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,1,15122,0,50,0
241,21,Private,5,Never-married,Other-service,Own-child,White,0,3,0,16,0
242,22,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,1,1,0,40,0
243,50,Private,14,Divorced,Prof-specialty,Not-in-family,White,0,2,0,40,1
244,47,Private,10,Divorced,Exec-managerial,Unmarried,White,0,0,0,40,0
245,48,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,2,0,40,1
246,55,Private,10,Divorced,Exec-managerial,Unmarried,White,0,0,0,40,0
247,41,Private,10,Never-married,Exec-managerial,Not-in-family,White,0,1,0,40,0
248,29,,10,Never-married,,Unmarried,White,0,0,0,21,0
249,31,Private,5,Divorced,Machine-op-inspct,Unmarried,Black,0,1,0,40,0
250,34,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,0,1,0,40,0
251,32,,10,Never-married,,Not-in-family,White,0,0,0,40,0
252,72,Private,9,Widowed,Other-service,Not-in-family,White,1,1,0,40,0
253,24,Private,13,Never-married,Sales,Not-in-family,White,1,0,0,40,0
254,24,Private,10,Never-married,Craft-repair,Own-child,White,1,0,0,24,0
255,29,Private,9,Married-civ-spouse,Sales,Husband,White,1,2,0,40,0
256,22,Private,12,Never-married,Sales,Not-in-family,White,1,3,0,40,0
257,26,Private,7,Never-married,Craft-repair,Own-child,Black,1,0,0,40,0
258,49,Self-emp-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,1,7553,0,50,1
259,52,Private,10,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,0
260,43,Private,10,Divorced,Adm-clerical,Not-in-family,White,1,0,0,40,0
261,23,?,10,Never-married,?,Own-child,White,0,3,0,20,0
262,31,Local-gov,14,Never-married,Prof-specialty,Not-in-family,White,0,0,0,10,0
263,22,Private,10,Never-married,Machine-op-inspct,Own-child,White,1,3,0,12,0
264,44,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
265,35,Local-gov,13,Never-married,Prof-specialty,Unmarried,White,0,1,0,40,0
266,29,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,0
267,26,Private,10,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,0
268,30,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,2,0,40,0
269,45,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,0,0,0,40,0
270,47,Self-emp-not-inc,13,Divorced,Prof-specialty,Not-in-family,White,1,14922,0,50,0
271,17,Private,10,Never-married,Other-service,Own-child,White,1,0,0,16,0
272,51,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,40,0
273,24,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,1,1,0,40,0
274,28,Private,10,Never-married,Prof-specialty,Unmarried,White,0,0,0,38,0
275,35,Private,9,Divorced,Sales,Not-in-family,White,1,0,0,40,0
276,43,Private,9,Widowed,Sales,Not-in-family,White,0,1,0,25,0
277,67,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,51,0
278,31,Private,13,Married-civ-spouse,Sales,Own-child,White,1,1,0,40,0
279,29,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,0
280,27,Private,5,Never-married,Other-service,Other-relative,Black,1,1,0,40,0
281,59,Private,7,Widowed,Other-service,Not-in-family,White,0,5193,0,40,0
282,29,Local-gov,13,Divorced,Prof-specialty,Wife,White,0,0,0,40,0
283,60,?,13,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,10,0
284,52,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,1
285,29,Private,9,Married-civ-spouse,Other-service,Husband,White,1,1,0,40,0
286,42,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
287,21,,10,Never-married,,Own-child,White,0,2,0,18,0
288,44,Private,10,Married-civ-spouse,Craft-repair,Husband,White,1,14995,0,50,1
289,25,Private,9,Married-civ-spouse,Transport-moving,Husband,White,1,1,0,40,0
290,36,Private,10,Divorced,Adm-clerical,Not-in-family,White,1,0,0,45,0
291,48,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
292,33,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
293,69,?,15,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,54,0
294,28,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
295,34,Private,9,Separated,Adm-clerical,Unmarried,White,0,0,0,40,0
296,26,Private,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
297,27,Private,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,1,0,0,40,0
298,43,Private,10,Divorced,Exec-managerial,Unmarried,White,0,0,0,40,0
299,33,Self-emp-not-inc,9,Divorced,Craft-repair,Not-in-family,White,1,1,0,40,0
300,63,Private,9,Widowed,Exec-managerial,Not-in-family,White,0,1,0,40,0
301,36,Private,10,Divorced,Sales,Unmarried,White,0,0,0,40,0
302,24,Private,13,Never-married,Exec-managerial,Unmarried,White,0,0,0,40,0
303,35,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,0
304,38,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
305,52,Private,10,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,0
306,39,Self-emp-not-inc,13,Divorced,Prof-specialty,Not-in-family,White,0,0,0,42,0
307,33,Private,10,Divorced,Machine-op-inspct,Not-in-family,White,1,0,0,40,0
308,21,Private,13,Never-married,Prof-specialty,Not-in-family,White,0,2,0,21,0
309,30,Private,10,Never-married,Exec-managerial,Not-in-family,White,0,1,0,40,0
310,21,Private,10,Never-married,Machine-op-inspct,Own-child,White,1,0,0,40,0
311,36,Private,9,Divorced,Other-service,Not-in-family,White,0,0,0,40,0
312,37,Private,12,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,1
313,33,Private,9,Never-married,Craft-repair,Unmarried,Black,1,0,0,40,0
314,46,Private,9,Divorced,Machine-op-inspct,Unmarried,White,0,0,0,40,0
315,35,Self-emp-not-inc,10,Divorced,Prof-specialty,Unmarried,White,0,0,0,40,0
316,37,Private,9,Divorced,Other-service,Not-in-family,White,0,0,0,40,0
317,26,Private,9,Never-married,Other-service,Unmarried,White,0,1,0,40,0
318,24,Local-gov,10,Never-married,Adm-clerical,Unmarried,White,0,0,0,21,0
319,48,Self-emp-not-inc,16,Divorced,Prof-specialty,Not-in-family,White,1,14926,0,50,1
320,40,Private,10,Separated,Adm-clerical,Unmarried,White,0,1,0,40,0
321,28,Private,10,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,40,0
322,50,Federal-gov,10,Married-civ-spouse,Adm-clerical,Husband,White,1,1,0,40,0
323,35,Private,12,Married-civ-spouse,Prof-specialty,Wife,White,0,7607,0,40,1
324,35,Private,10,Separated,Other-service,Unmarried,White,0,0,0,40,0
325,28,Self-emp-not-inc,7,Divorced,,Not-in-family,White,1,0,0,40,0
326,64,Self-emp-not-inc,9,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,19,0
327,68,Private,4,Married-civ-spouse,Adm-clerical,Wife,White,0,3,0,19,0
328,40,Private,10,Divorced,Prof-specialty,Unmarried,White,0,0,0,40,0
329,32,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,1,0,40,0
330,29,Private,13,Married-civ-spouse,Tech-support,Husband,White,1,0,0,40,1
331,43,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,40,0
332,20,Private,10,Never-married,Adm-clerical,Own-child,White,0,0,0,22,0
333,29,Private,9,Never-married,Craft-repair,Own-child,White,1,0,0,40,0
334,26,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,0
335,46,Private,10,Separated,Exec-managerial,Not-in-family,White,1,0,0,40,0
336,33,Private,9,Never-married,Transport-moving,Not-in-family,White,1,0,0,40,0
