,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
46719,42,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,3325,0,40,0
18216,54,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,0
46769,18,,9,Never-married,,Own-child,White,Female,0,0,3,0
34480,46,Private,6,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,0
48166,40,Private,10,Never-married,Sales,Not-in-family,Black,Female,0,0,40,0
41094,30,State-gov,9,Divorced,Other-service,Unmarried,White,Female,0,0,50,0
22702,36,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,0
38062,43,Local-gov,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2002,40,0
38349,27,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,0,0,40,0
22086,40,Private,10,Married-civ-spouse,Sales,Husband,White,Male,4386,0,50,0
31313,38,?,4,Divorced,?,Unmarried,Black,Female,0,0,30,0
43809,26,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,0
12941,18,Private,7,Never-married,Sales,Own-child,White,Female,0,0,49,0
39696,23,State-gov,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,0
29385,24,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
29180,20,Private,10,Never-married,Machine-op-inspct,Other-relative,Black,Female,0,0,35,0
46353,24,Private,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,0
26636,42,Self-emp-inc,8,Divorced,Craft-repair,Not-in-family,White,Male,0,0,10,0
46235,25,Private,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,0
21851,18,?,10,Never-married,?,Own-child,Black,Female,0,1602,40,0
44275,22,Private,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,0
5283,40,Private,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,43,0
26741,46,Private,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,0
20036,61,Self-emp-inc,14,Widowed,Exec-managerial,Unmarried,White,Female,0,0,99,0
13048,28,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,60,0
23086,40,Private,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36,0
13904,50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,0
25284,47,Private,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,0
2845,50,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,1
34653,18,,7,Never-married,,Own-child,White,Male,0,0,20,0
26819,18,Local-gov,6,Never-married,Other-service,Own-child,White,Male,0,0,25,0
38094,19,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,0
16961,28,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,50,1
33581,36,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,0
38748,49,Self-emp-not-inc,10,Never-married,Other-service,Not-in-family,White,Male,0,0,20,0
38746,55,Federal-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,0
3497,35,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,1
5130,40,Private,6,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,0
39521,59,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,0
27351,46,Private,11,Divorced,Tech-support,Unmarried,Black,Female,0,625,40,0
47385,24,Private,10,Married-spouse-absent,Farming-fishing,Unmarried,White,Female,0,0,40,0
18038,31,Private,12,Divorced,Other-service,Not-in-family,White,Female,0,0,32,0
8232,26,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,4865,0,35,0
37551,63,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,0
10635,36,Federal-gov,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,0
7306,35,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
17582,48,Self-emp-inc,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,0
44557,28,Private,10,Never-married,Sales,Own-child,Black,Male,0,0,40,0
41629,36,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,0
35605,56,Private,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,0
34788,25,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,0
18579,38,Private,13,Never-married,Other-service,Own-child,White,Female,0,0,35,0
35637,42,Private,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,0
36782,22,,10,Never-married,,Own-child,White,Female,0,0,40,0
9162,34,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,0
1709,43,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,1
34034,55,Private,9,Widowed,Craft-repair,Unmarried,White,Male,0,0,51,0
17267,18,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,0
37338,27,,10,Never-married,,Unmarried,White,Female,0,0,25,0
31094,17,?,6,Never-married,?,Own-child,Black,Female,0,0,40,0
47200,28,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,0
22172,23,Private,11,Never-married,Other-service,Own-child,White,Female,0,0,15,0
30757,31,?,9,Never-married,?,Own-child,Amer-Indian-Eskimo,Male,0,0,40,0
36580,38,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,1
7450,47,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,1
27544,23,Private,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,47,0
46007,37,Private,9,Married-civ-spouse,Other-service,Other-relative,Black,Female,0,0,35,0
7607,55,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,0
21253,37,Private,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,0
29244,38,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,0
30187,33,Private,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,0
24196,42,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,1
44198,18,Private,7,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,21,0
16166,51,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,0
22366,38,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,0
43323,48,Private,10,Never-married,Prof-specialty,Unmarried,White,Female,0,0,45,0
37377,34,Private,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,0
8065,26,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,0
5199,42,Private,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,0
7772,58,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
3285,19,Private,9,Never-married,Other-service,Own-child,White,Male,0,0,20,0
24589,24,Private,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,35,0
25629,22,Private,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,40,1
46314,45,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,1
27686,28,Private,11,Never-married,Tech-support,Not-in-family,Black,Female,0,0,40,0
33626,53,State-gov,12,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,0
22741,22,Private,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,0
20709,24,State-gov,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,20,0
11458,31,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,0
28367,39,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,25,0
789,21,?,9,Never-married,?,Not-in-family,White,Female,1055,0,40,0
28830,44,Private,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,1
5372,27,Private,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,0
27687,54,Private,11,Married-civ-spouse,Protective-serv,Husband,Black,Male,15024,0,38,1
9015,40,Local-gov,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,0
34617,26,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,72,0
46785,35,Private,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,1
33748,31,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,1
31164,49,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,1
15253,31,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,70,1
4671,46,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,0
31722,58,Private,4,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,33,0
14096,53,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,1
38545,27,Local-gov,9,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,0
571,51,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
42543,66,Private,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,7,0
3646,39,Private,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,36,0
35971,24,Federal-gov,13,Never-married,Exec-managerial,Not-in-family,White,Female,2174,0,40,0
41541,40,Self-emp-not-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,0
27237,28,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,0
17152,19,Private,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,0
35037,33,Self-emp-not-inc,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,0
5712,47,State-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
12414,42,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,0
4488,25,Private,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,36,0
31631,45,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,0
33305,24,Private,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,0
23733,35,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,1
17473,39,Private,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,0
23017,53,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,0
16514,55,Private,7,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,40,0
31610,39,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,0
4533,35,Self-emp-not-inc,9,Never-married,Machine-op-inspct,Own-child,White,Male,8614,0,40,1
46828,44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
5983,22,?,10,Never-married,?,Own-child,White,Male,0,0,40,0
45969,30,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
29426,45,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,1
15428,20,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,0
9472,40,Private,10,Divorced,Craft-repair,Other-relative,White,Male,0,0,50,0
15382,51,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,47,1
31945,32,Private,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,0
21432,39,Federal-gov,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,45,0
30183,43,Private,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,38,0
44217,33,Private,11,Divorced,Sales,Not-in-family,White,Male,0,0,50,0
15947,29,Local-gov,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,0
30910,38,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,1
16472,23,Private,12,Never-married,Other-service,Own-child,Black,Male,0,0,44,0
27345,50,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,0
15585,50,Federal-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,0,880,40,0
8445,24,Private,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,20,0
30026,17,Private,7,Never-married,Other-service,Other-relative,White,Female,0,0,22,0
8910,36,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,1
8739,43,Self-emp-not-inc,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,60,0
25810,47,Private,8,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0,0,55,0
33614,40,Private,6,Divorced,Craft-repair,Own-child,White,Male,0,0,40,0
4152,20,?,10,Never-married,?,Own-child,White,Male,0,0,20,0
30244,50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,55,1
10983,30,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,55,1
16457,55,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,1
38786,48,Private,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,72,0
22731,66,?,11,Widowed,?,Not-in-family,White,Female,2964,0,30,0
45223,43,Private,7,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,80,0
38252,48,Private,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,42,1
40323,56,Private,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,0
18050,36,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,1
21058,44,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,15024,0,60,1
18682,43,Self-emp-not-inc,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,0
36015,22,State-gov,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,8,0
7967,28,Self-emp-not-inc,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,0
31280,47,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,44,1
11326,26,Private,10,Never-married,Other-service,Own-child,White,Male,0,0,40,0
29906,20,Private,9,Never-married,Sales,Other-relative,White,Male,0,0,60,0
11482,38,Private,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,0
13690,39,Federal-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,0
2863,35,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,0
27910,45,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,50,0
22251,50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,1
36065,34,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,30,0
18321,51,Self-emp-not-inc,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,1
37361,31,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,0
36952,57,Private,9,Separated,Sales,Unmarried,White,Female,0,0,40,0
32172,36,Private,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,37,0
4248,51,Private,7,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,0
2099,61,Self-emp-not-inc,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,0
2127,35,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,70,0
12219,58,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,2174,0,40,0
45820,20,Private,10,Never-married,Prof-specialty,Other-relative,White,Male,0,0,12,0
11648,42,Federal-gov,13,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,0
26536,38,Private,9,Separated,Other-service,Unmarried,Black,Female,0,0,32,0
42601,25,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,45,0
22712,28,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,0
41251,18,Private,4,Never-married,Other-service,Own-child,Black,Male,0,0,20,0
46201,20,State-gov,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,0
8674,41,Self-emp-not-inc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,1
18538,36,Private,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,55,1
22941,44,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,0
11447,39,Private,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,0
42884,30,Private,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,55,0
6114,57,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,0
30855,24,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,0
39726,23,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,0
31789,28,Private,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,23,0
27930,47,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,60,0
43018,59,Self-emp-inc,3,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,99999,0,40,1
9229,32,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,0
7506,32,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3781,0,40,0
10384,50,Private,12,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,0
5621,36,Private,10,Never-married,Craft-repair,Own-child,White,Male,2174,0,60,0
4074,33,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,0
45746,48,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,1
25556,25,State-gov,13,Never-married,Other-service,Not-in-family,White,Female,2597,0,50,0
41184,17,Private,7,Never-married,Other-service,Own-child,White,Female,0,0,16,0
9054,18,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,0
16286,39,Private,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
48678,21,,10,Never-married,,Other-relative,White,Female,0,0,52,0
38734,51,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1902,40,1
19486,47,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,1
38777,52,Private,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,0
29996,48,Private,11,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,56,1
43645,23,Private,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,66,0
68,49,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
4443,45,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,1
36875,26,Self-emp-not-inc,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,75,0
37623,22,Private,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,2339,40,0
41253,58,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,1
