,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22,73,Never-worked,194484,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,55,United-States,0
23,59,Self-emp-not-inc,108097,9,Married-civ-spouse,Craft-repair,Husband,White,1,27,0,40,United-States,0
24,62,?,84543,6,Divorced,?,Not-in-family,White,1,12,0,10,United-States,0
25,55,Private,60669,9,Married-civ-spouse,Exec-managerial,Husband,White,1,7934,1,42,United-States,0
26,25,State-gov,90938,13,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,1,0,0,21,China,0
27,22,Private,146833,10,Never-married,Tech-support,Own-child,White,0,14,0,22,United-States,0
28,33,Private,138267,13,Married-civ-spouse,Exec-managerial,Husband,White,1,17,2057,49,United-States,0
29,40,Private,204565,9,Divorced,Machine-op-inspct,Unmarried,Black,0,3,0,40,United-States,0
30,26,Private,94238,9,Never-married,Handlers-cleaners,Own-child,White,1,16,1,40,United-States,0
31,31,Private,89293,3,Married-civ-spouse,Other-service,Wife,White,0,11,0,19,?,0
32,46,Federal-gov,34059,14,Divorced,Prof-specialty,Not-in-family,White,0,2939,0,45,United-States,0
33,30,Federal-gov,292907,13,Divorced,Other-service,Not-in-family,White,0,4,0,40,United-States,0
34,23,Private,282857,13,Never-married,Exec-managerial,Own-child,White,0,11,1,23,United-States,0
35,22,Federal-gov,86649,7,Never-married,Handlers-cleaners,Not-in-family,White,1,1,0,18,United-States,0
36,21,Self-emp-not-inc,187071,13,Never-married,Farming-fishing,Husband,White,1,11,0,40,United-States,0
37,30,Private,114487,9,Married-civ-spouse,Sales,Wife,White,1,0,0,36,United-States,0
38,39,Private,138055,13,Married-civ-spouse,Exec-managerial,Husband,White,1,26,0,40,United-States,0
39,26,Self-emp-inc,158140,14,Married-civ-spouse,Exec-managerial,Husband,White,1,24,1825,21,United-States,0
40,25,Self-emp-not-inc,38347,14,Never-married,Sales,Not-in-family,White,1,6,0,60,United-States,0
41,45,Private,237194,13,Divorced,Exec-managerial,Not-in-family,White,0,7677,0,40,United-States,0
42,29,Private,297363,9,Separated,Other-service,Own-child,Black,0,2,0,40,United-States,0
43,32,Private,120287,9,Never-married,Exec-managerial,Not-in-family,White,0,0,0,47,United-States,0
44,27,Private,190106,7,Never-married,Tech-support,Own-child,White,0,22,1870,25,United-States,0
45,51,State-gov,178563,9,Married-civ-spouse,Craft-repair,Husband,White,1,12,1,22,United-States,0
46,33,Private,50699,7,Never-married,Craft-repair,Own-child,Black,1,0,0,40,United-States,0
47,43,Local-gov,113218,13,Married-civ-spouse,Adm-clerical,Wife,White,0,19,0,40,United-States,0
48,43,Private,108575,9,Married-civ-spouse,Sales,Husband,White,1,8,0,40,United-States,0
49,20,Private,249328,7,Never-married,Other-service,Own-child,Black,1,8,0,40,United-States,0
50,22,Private,181632,13,Married-AF-spouse,Adm-clerical,Wife,White,0,30,0,19,United-States,0
51,31,Private,262836,13,Married-civ-spouse,Sales,Wife,White,0,25,0,45,United-States,0
52,39,Local-gov,213141,14,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,0,2,0,45,United-States,0
53,41,Self-emp-inc,137253,13,Married-civ-spouse,Exec-managerial,Husband,White,1,15641,1742,50,United-States,0
54,60,Private,86154,10,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,20,?,0
55,41,Private,206172,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,21,United-States,0
56,36,Private,213563,9,Married-civ-spouse,Exec-managerial,Husband,White,1,11,0,40,United-States,0
57,34,Private,94782,10,Never-married,Adm-clerical,Own-child,Black,0,2,0,40,United-States,0
58,31,Private,158384,13,Married-civ-spouse,Farming-fishing,Husband,White,1,7,0,30,United-States,0
59,25,Self-emp-inc,161210,13,Married-civ-spouse,Prof-specialty,Other-relative,White,1,12,0,36,United-States,0
60,27,Private,103653,5,Married-civ-spouse,Sales,Husband,Other,1,19,0,40,Nicaragua,0
61,26,Private,232794,9,Never-married,Handlers-cleaners,Not-in-family,Black,1,22,0,40,Puerto-Rico,0
62,38,Private,201422,9,Married-civ-spouse,Craft-repair,Husband,White,1,26,0,40,United-States,0
63,40,Private,120538,13,Married-civ-spouse,Prof-specialty,Husband,White,1,32,0,40,Greece,0
64,20,Private,169839,9,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,United-States,0
65,23,Private,197780,2,Never-married,Adm-clerical,Own-child,Other,0,20,1,40,United-States,0
66,45,Private,121060,7,Married-civ-spouse,Handlers-cleaners,Husband,White,1,3,1,50,United-States,0
67,46,Local-gov,229223,13,Never-married,Machine-op-inspct,Unmarried,Black,0,9,0,40,United-States,0
68,38,?,95252,15,Divorced,Exec-managerial,Not-in-family,Black,0,2,0,24,United-States,0
69,45,Self-emp-not-inc,227485,16,Married-civ-spouse,Handlers-cleaners,Husband,White,1,8,1,50,United-States,0
70,27,Private,235699,12,Married-civ-spouse,Transport-moving,Husband,White,1,3203,0,55,United-States,0
71,31,Private,57482,7,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,0,0,0,30,Taiwan,0
72,33,Private,183847,13,Married-civ-spouse,Sales,Own-child,White,1,22,0,50,Dominican-Republic,0
73,28,Self-emp-not-inc,155259,6,Married-civ-spouse,Machine-op-inspct,Husband,White,1,3,0,40,United-States,0
74,31,Private,86658,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,17,0,23,United-States,0
75,35,,309215,10,Married-civ-spouse,,Husband,White,1,0,0,20,United-States,0
76,44,Private,108387,9,Divorced,Other-service,Unmarried,White,0,13,0,45,Puerto-Rico,0
77,25,Local-gov,218540,13,Never-married,Exec-managerial,Own-child,White,0,0,0,23,United-States,0
78,18,Local-gov,201065,13,Never-married,Other-service,Own-child,White,0,0,0,40,United-States,0
79,27,Private,189443,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,1,43,0,43,Puerto-Rico,0
80,30,Private,124625,9,Married-civ-spouse,Craft-repair,Husband,Other,1,21,0,40,Cuba,0
81,39,Private,416299,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,1,0,20,United-States,0
82,28,Private,54208,13,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,1,3053,0,54,United-States,0
83,36,Private,113012,3,Never-married,Adm-clerical,Own-child,White,0,3,0,36,Poland,0
84,27,Private,308875,9,Never-married,Craft-repair,Other-relative,Other,1,0,1,40,Haiti,0
85,61,Private,123665,13,Married-civ-spouse,Exec-managerial,Husband,White,1,27,0,40,Germany,0
86,27,Private,75488,9,Never-married,?,Wife,White,0,18,0,39,United-States,0
87,64,,237201,11,Separated,,Unmarried,White,0,0,0,40,United-States,0
88,35,Local-gov,213582,10,Divorced,Other-service,Unmarried,White,0,0,0,40,United-States,0
89,37,Private,100372,13,Married-civ-spouse,Farming-fishing,Husband,White,1,0,1,40,United-States,0
90,50,Self-emp-not-inc,185746,3,Divorced,Prof-specialty,Not-in-family,Black,0,12,0,23,United-States,0
91,19,Private,286342,7,Married-civ-spouse,Transport-moving,Other-relative,White,1,0,1,45,United-States,0
92,67,,104734,10,Married-civ-spouse,Exec-managerial,Husband,Black,1,1,0,40,Columbia,0
93,37,Private,113380,9,Married-civ-spouse,Craft-repair,Husband,White,1,10,0,40,United-States,0
94,40,,79106,9,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,1,0,0,40,United-States,0
95,49,Private,115592,13,Married-civ-spouse,Exec-managerial,Husband,White,1,11,0,50,United-States,0
96,42,Private,92678,6,Never-married,Tech-support,Not-in-family,White,1,9,0,40,Mexico,0
97,36,Local-gov,199400,9,Separated,Adm-clerical,Unmarried,Black,0,17,0,40,United-States,0
98,46,Private,269709,10,Never-married,Adm-clerical,Unmarried,Black,0,33,0,40,United-States,0
99,34,Private,167531,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,1,8,0,50,Jamaica,0
100,36,,234624,14,Divorced,,Not-in-family,White,0,21,0,45,,0
101,61,Federal-gov,306543,9,Divorced,Sales,Not-in-family,White,1,31,0,36,United-States,0
102,19,Self-emp-not-inc,217017,9,Separated,Other-service,Not-in-family,Black,1,0,0,40,Mexico,0
103,20,Private,69404,9,Separated,Other-service,Not-in-family,White,0,0,0,57,United-States,0
104,57,Private,194939,10,Separated,Machine-op-inspct,Unmarried,White,1,3425,0,55,United-States,0
105,20,Private,175484,7,Never-married,Farming-fishing,Own-child,White,1,10,0,67,United-States,0
106,67,?,386929,9,Married-civ-spouse,?,Husband,White,1,22,0,9,United-States,0
107,28,Private,442691,9,Married-civ-spouse,Handlers-cleaners,Husband,Other,1,16,0,40,Jamaica,0
108,26,Private,84431,10,Never-married,Adm-clerical,Own-child,Other,1,3,0,40,United-States,0
109,24,Private,86830,9,Never-married,Other-service,Not-in-family,White,1,8,0,54,United-States,0
110,73,?,117346,7,Never-married,?,Own-child,White,1,0,0,40,United-States,0
111,23,Private,218449,9,Married-civ-spouse,Craft-repair,Husband,White,1,8,0,40,United-States,0
112,36,Private,476430,7,Married-civ-spouse,Exec-managerial,Husband,Black,1,8,0,40,United-States,0
113,42,Private,207904,13,Married-civ-spouse,Exec-managerial,Husband,White,1,8007,0,40,United-States,0
114,26,Private,93882,7,Married-civ-spouse,Handlers-cleaners,Own-child,Other,1,0,1,40,Mexico,0
115,29,Private,242945,9,Divorced,Exec-managerial,Not-in-family,White,0,4,0,48,United-States,0
116,26,,168677,9,Married-civ-spouse,,Wife,White,0,0,0,40,United-States,0
117,27,Private,97345,13,Never-married,Sales,Not-in-family,White,0,6,0,49,United-States,0
118,44,Private,175053,13,Married-civ-spouse,Adm-clerical,Wife,White,0,21,0,20,United-States,0
119,21,Private,166995,9,Never-married,Handlers-cleaners,Own-child,White,1,1,0,40,United-States,0
120,35,Private,195693,7,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,0,0,0,40,Nicaragua,0
121,29,Private,204149,11,Divorced,Exec-managerial,Not-in-family,Black,1,16,0,40,United-States,0
122,47,Private,169436,10,Divorced,Machine-op-inspct,Unmarried,White,0,0,0,40,United-States,0
123,57,Local-gov,172399,10,Married-civ-spouse,,Wife,White,0,20,0,40,United-States,0
124,37,Self-emp-not-inc,167015,9,Married-spouse-absent,Machine-op-inspct,Husband,White,1,0,0,46,Mexico,0
125,30,Self-emp-inc,107162,13,Never-married,Prof-specialty,Not-in-family,White,1,15,0,45,Portugal,0
126,34,Self-emp-not-inc,102379,13,Never-married,Exec-managerial,Not-in-family,White,1,31,0,50,Mexico,0
127,49,Private,130846,9,Widowed,Protective-serv,Unmarried,Black,1,0,0,40,United-States,0
128,39,Private,107623,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,0,14865,0,55,China,0
129,36,Private,241264,9,Separated,Other-service,Not-in-family,White,0,0,0,40,United-States,0
130,40,Local-gov,321281,14,Married-spouse-absent,Prof-specialty,Unmarried,White,1,0,0,50,Scotland,0
131,58,State-gov,78905,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,2031,40,United-States,0
132,33,Private,318386,9,Never-married,Handlers-cleaners,Not-in-family,White,1,0,0,40,United-States,0
133,41,Local-gov,94064,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,11,0,40,Philippines,0
134,41,Private,123388,9,Married-civ-spouse,Exec-managerial,Husband,White,1,19,0,40,United-States,0
135,30,Local-gov,341203,10,Divorced,Transport-moving,Unmarried,Other,1,9,0,30,Mexico,0
136,31,Self-emp-not-inc,109560,15,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,0,0,0,50,El-Salvador,0
137,21,Private,152290,10,Married-civ-spouse,Handlers-cleaners,Own-child,White,1,0,0,40,United-States,0
138,27,Private,121576,5,Married-civ-spouse,Adm-clerical,Unmarried,White,1,4,0,40,United-States,0
139,34,Private,88105,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,15086,0,56,Philippines,0
140,41,Local-gov,99642,13,Married-civ-spouse,Prof-specialty,Husband,White,1,26,0,40,United-States,0
141,21,Private,134366,9,Never-married,Transport-moving,Own-child,White,0,10,0,40,United-States,0
142,44,Private,188200,9,Divorced,Protective-serv,Not-in-family,White,1,7504,0,45,United-States,0
143,33,Private,103377,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,1,17,0,40,South,0
144,49,Private,160952,9,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,United-States,0
145,33,Private,150013,10,Widowed,Priv-house-serv,Not-in-family,Black,0,11,1754,56,United-States,0
146,25,Federal-gov,81877,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,0,7,0,40,Philippines,0
147,19,Private,179205,9,Never-married,Other-service,Other-relative,White,1,9,0,30,United-States,0
148,43,Private,153812,14,Divorced,Other-service,Not-in-family,White,0,9,0,45,United-States,0
149,34,Private,98022,13,Married-civ-spouse,Prof-specialty,Husband,White,1,7544,0,40,United-States,0
150,36,Private,181056,9,Divorced,Machine-op-inspct,Own-child,Other,1,10,0,40,South,0
151,27,,180767,9,Married-civ-spouse,,Husband,White,1,0,0,7,United-States,0
152,19,Never-worked,329806,13,Never-married,Other-service,Own-child,White,1,2,2,20,United-States,0
153,21,Private,33048,9,Separated,Adm-clerical,Own-child,White,0,8,0,23,United-States,0
154,66,Private,197533,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,United-States,0
155,30,Local-gov,126835,7,Never-married,Prof-specialty,Own-child,White,1,0,0,40,United-States,0
156,34,Private,92018,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,0,0,0,20,India,0
157,43,Private,148112,9,Divorced,Machine-op-inspct,Unmarried,White,0,4,0,20,United-States,0
158,20,Private,356967,10,Never-married,Adm-clerical,Own-child,White,0,0,0,40,United-States,0
159,61,Self-emp-not-inc,148896,3,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,40,United-States,0
160,29,Private,113534,10,Never-married,Handlers-cleaners,Not-in-family,Other,0,0,0,50,Cuba,0
161,42,Private,87636,15,Divorced,Machine-op-inspct,Unmarried,Black,0,3,0,40,United-States,0
162,34,,207391,13,Divorced,,Unmarried,White,0,0,0,40,United-States,0
163,39,Private,261382,13,Married-civ-spouse,Handlers-cleaners,Husband,White,1,4,0,40,United-States,0
164,64,Without-pay,164656,6,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States,0
165,20,Private,92701,9,Never-married,Other-service,Own-child,White,0,17,0,40,United-States,0
166,61,?,214189,9,Married-civ-spouse,Exec-managerial,Husband,White,1,26,0,40,United-States,0
167,68,?,184510,13,Widowed,?,Not-in-family,White,0,0,0,36,United-States,0
168,21,Private,382863,7,Divorced,Machine-op-inspct,Own-child,Black,1,0,0,40,United-States,0
169,38,Private,258572,11,Divorced,Exec-managerial,Unmarried,White,0,0,0,40,United-States,0
170,62,?,276807,3,Married-civ-spouse,?,Husband,Black,1,19,0,9,United-States,0
171,36,Private,113999,13,Married-civ-spouse,Exec-managerial,Husband,White,1,14842,0,55,United-States,0
172,31,Private,170414,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,United-States,0
173,32,Private,198500,13,Married-civ-spouse,Sales,Husband,White,1,0,0,40,Mexico,0
174,33,State-gov,33257,14,Never-married,Prof-specialty,Not-in-family,White,1,13,0,50,United-States,0
175,23,Private,418170,3,Never-married,Transport-moving,Other-relative,Asian-Pac-Islander,1,5,1,23,,0
176,63,Private,69262,9,Married-civ-spouse,Craft-repair,Husband,White,1,17,0,40,Mexico,0
177,46,Private,177823,10,Divorced,Exec-managerial,Unmarried,White,0,0,0,52,United-States,0
178,35,Local-gov,120860,11,Never-married,?,Not-in-family,Amer-Indian-Eskimo,1,18,0,50,United-States,0
179,28,Private,120537,13,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,40,United-States,0
180,51,Private,88379,6,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,South,0
181,37,Private,198923,9,Divorced,Machine-op-inspct,Unmarried,White,0,21,0,40,Poland,0
182,32,Local-gov,74342,13,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,45,Portugal,0
183,46,Private,307095,6,Married-civ-spouse,Handlers-cleaners,Other-relative,White,0,0,0,40,United-States,0
184,32,Self-emp-not-inc,106269,9,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,40,United-States,0
185,38,Private,99336,9,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,1,15,0,40,United-States,0
186,40,Local-gov,95514,14,Divorced,Tech-support,Unmarried,Black,0,19,0,36,United-States,0
187,34,Federal-gov,196623,10,Divorced,Adm-clerical,Unmarried,Black,0,16,0,40,United-States,0
188,43,Local-gov,191156,9,Divorced,Machine-op-inspct,Not-in-family,White,0,0,0,40,Puerto-Rico,0
189,50,Private,199025,9,Divorced,Exec-managerial,Not-in-family,White,0,1,0,40,,0
190,41,Local-gov,141528,7,Never-married,Adm-clerical,Unmarried,White,0,23,0,45,United-States,0
191,64,,170854,6,Widowed,,Husband,Asian-Pac-Islander,1,14,0,21,United-States,0
192,41,Private,125079,13,Divorced,Exec-managerial,Unmarried,White,0,14,0,40,United-States,0
193,55,Private,64190,9,Widowed,Other-service,Other-relative,White,0,3,1,35,United-States,0
194,28,Private,176688,9,Married-civ-spouse,Tech-support,Wife,White,0,0,0,40,United-States,0
195,37,Private,203103,11,Never-married,Other-service,Unmarried,White,0,0,1,20,United-States,0
196,30,Private,75731,13,Married-civ-spouse,Protective-serv,Husband,White,1,15,2020,45,Mexico,0
197,28,Local-gov,108197,9,Separated,Handlers-cleaners,Other-relative,White,1,18,1,23,United-States,0
198,21,Private,128859,9,Never-married,Handlers-cleaners,Own-child,White,1,11,0,40,United-States,0
199,33,Private,88491,11,Separated,Adm-clerical,Not-in-family,White,0,7,0,40,United-States,0
200,25,Local-gov,138061,9,Divorced,Exec-managerial,Not-in-family,White,0,2,0,50,United-States,0
201,66,Private,246519,9,Married-civ-spouse,?,Husband,Amer-Indian-Eskimo,0,0,0,40,United-States,0
202,36,?,202898,9,Widowed,?,Not-in-family,Black,1,0,0,20,United-States,0
203,38,Private,233450,9,Married-civ-spouse,Transport-moving,Wife,White,0,7,0,36,United-States,0
204,27,Private,153078,13,Never-married,Adm-clerical,Wife,White,0,6,0,23,United-States,0
205,31,Federal-gov,127894,12,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,1,31,0,40,South,0
206,34,Private,290604,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,1,20,1,50,United-States,0
207,52,Private,121930,9,Married-civ-spouse,Exec-managerial,Husband,White,1,13,1,40,United-States,0
208,30,Private,146259,9,Married-civ-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,1,0,0,40,Mexico,0
209,26,Private,171088,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,United-States,0
210,28,?,187919,6,Never-married,?,Own-child,Asian-Pac-Islander,1,3886,0,50,Philippines,0
211,67,Federal-gov,199576,13,Married-civ-spouse,Exec-managerial,Wife,White,1,0,0,45,United-States,0
212,26,Local-gov,228956,14,Never-married,Prof-specialty,Not-in-family,White,0,11,0,21,United-States,0
213,22,Private,108378,13,Never-married,Sales,Own-child,White,0,4,0,40,United-States,0
214,63,Federal-gov,203448,10,Widowed,Other-service,Other-relative,White,0,0,1,21,United-States,0
215,38,Federal-gov,112987,10,Never-married,Handlers-cleaners,Unmarried,Black,1,0,0,40,United-States,0
216,24,Local-gov,201944,13,Never-married,Prof-specialty,Not-in-family,White,1,0,0,56,United-States,0
217,57,Private,135855,3,Married-spouse-absent,Sales,Unmarried,White,0,5,0,20,El-Salvador,0
218,25,Private,186601,11,Separated,Machine-op-inspct,Own-child,White,0,0,0,60,United-States,0
219,55,Federal-gov,121210,9,Divorced,Prof-specialty,Not-in-family,White,0,0,1920,40,United-States,0
220,22,Private,474179,6,Married-civ-spouse,Sales,Husband,White,1,30,0,40,United-States,0
221,35,Private,172000,13,Married-civ-spouse,Transport-moving,Husband,White,1,7540,0,54,United-States,0
222,35,Private,191916,13,Married-civ-spouse,Exec-managerial,Husband,White,1,35,1654,40,United-States,0
223,33,Private,77395,6,Never-married,Handlers-cleaners,Own-child,White,1,18,0,40,United-States,0
224,24,,177589,9,Married-civ-spouse,,Own-child,White,0,0,0,21,United-States,0
225,56,Self-emp-not-inc,190521,9,Widowed,Adm-clerical,Unmarried,White,0,5,0,22,United-States,0
226,18,Private,88175,7,Never-married,Handlers-cleaners,Own-child,White,0,0,0,58,United-States,0
227,33,State-gov,135740,14,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,0,0,0,40,Philippines,0
228,19,Private,373214,7,Never-married,Other-service,Own-child,Asian-Pac-Islander,0,32,0,22,,0
229,30,Private,183980,9,Separated,Handlers-cleaners,Husband,White,1,9,0,22,United-States,0
230,32,Federal-gov,295209,14,Divorced,Adm-clerical,Not-in-family,White,0,13,0,64,United-States,0
231,23,Private,98447,9,Never-married,Handlers-cleaners,Own-child,White,1,12,0,40,United-States,0
232,24,Private,133343,3,Never-married,Handlers-cleaners,Own-child,White,1,18,0,50,United-States,0
233,36,Local-gov,189117,13,Never-married,Sales,Not-in-family,White,0,0,0,45,Iran,0
234,37,,24300,6,Divorced,,Not-in-family,White,0,0,0,40,United-States,0
235,61,Private,151301,9,Married-civ-spouse,Prof-specialty,Husband,White,1,11,1,40,United-States,0
236,28,Private,101640,10,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,1,7686,0,40,,0
237,67,?,105720,9,Widowed,?,Not-in-family,White,0,0,1,22,United-States,0
238,18,Local-gov,205326,13,Never-married,Prof-specialty,Own-child,White,0,1,0,45,United-States,0
239,42,Private,168552,13,Married-civ-spouse,Exec-managerial,Husband,White,1,9,0,50,United-States,0
240,27,Private,391915,10,Married-civ-spouse,Protective-serv,Husband,White,1,9,0,40,United-States,0
241,26,Private,63173,13,Never-married,Other-service,Other-relative,Black,1,6,0,40,Ecuador,0
242,34,Private,315716,6,Married-civ-spouse,Handlers-cleaners,Husband,White,1,2,0,40,El-Salvador,0
243,60,?,192654,6,Widowed,?,Wife,Black,1,0,0,13,United-States,0
244,19,Private,167009,9,Never-married,Machine-op-inspct,Not-in-family,White,1,21,0,40,United-States,0
245,27,Local-gov,103329,6,Separated,Exec-managerial,Unmarried,White,0,6,0,40,United-States,0
246,59,?,229207,9,Widowed,?,Other-relative,White,1,18,0,40,United-States,0
247,33,Private,281365,5,Divorced,Other-service,Unmarried,White,0,0,0,40,Columbia,0
248,37,Private,207576,13,Married-civ-spouse,Handlers-cleaners,Husband,White,1,22,0,55,United-States,0
249,28,Private,184192,14,Never-married,Sales,Not-in-family,White,0,31,0,42,Mexico,0
250,48,Self-emp-not-inc,157299,7,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,United-States,0
251,20,Private,80041,7,Divorced,Exec-managerial,Not-in-family,White,1,3561,0,59,United-States,0
252,31,Private,79621,9,Divorced,Prof-specialty,Not-in-family,White,0,28,0,50,United-States,0
253,81,Never-worked,170810,9,Separated,Machine-op-inspct,Own-child,Black,1,0,1,30,United-States,0
254,36,,190527,12,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,40,United-States,0
255,24,?,127705,10,Never-married,?,Own-child,White,0,0,1,22,Mexico,0
256,45,Local-gov,109621,9,Divorced,Machine-op-inspct,Unmarried,White,0,0,0,40,United-States,0
257,30,Private,223841,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,United-States,0
258,48,Private,369686,9,Married-civ-spouse,Craft-repair,Husband,White,1,3,0,40,United-States,0
259,20,Private,324187,7,Never-married,Handlers-cleaners,Own-child,White,0,18,1,30,United-States,0
260,28,State-gov,187494,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,0,14595,1826,40,Philippines,0
261,51,Local-gov,303705,14,Divorced,Sales,Not-in-family,White,0,3019,0,45,United-States,0
262,34,Private,217419,14,Divorced,Machine-op-inspct,Not-in-family,White,0,27,0,40,Puerto-Rico,0
263,20,Private,176359,6,Never-married,Transport-moving,Own-child,White,0,17,0,60,United-States,0
264,41,Federal-gov,159415,9,Divorced,Other-service,Not-in-family,White,0,19,1,60,United-States,0
265,34,Private,79184,9,Married-civ-spouse,Exec-managerial,Husband,White,1,16,0,40,United-States,0
266,27,Self-emp-inc,239886,13,Married-civ-spouse,Tech-support,Husband,White,1,19,0,50,United-States,0
267,35,Private,172812,9,Married-civ-spouse,Other-service,Husband,White,0,20,0,40,United-States,0
268,27,Private,173681,13,Never-married,Tech-support,Own-child,White,1,0,0,40,United-States,0
269,36,Private,157327,9,Married-civ-spouse,Exec-managerial,Husband,White,1,9,0,40,United-States,0
270,74,?,151487,9,Married-spouse-absent,?,Own-child,White,1,3,0,22,United-States,0
271,40,State-gov,120349,14,Never-married,Prof-specialty,Not-in-family,White,1,20,0,40,United-States,0
272,33,Private,124144,9,Married-civ-spouse,Exec-managerial,Husband,White,1,14,1907,40,United-States,0
273,24,State-gov,203049,7,Never-married,Other-service,Own-child,White,0,0,0,40,United-States,0
274,32,Federal-gov,191890,9,Married-civ-spouse,Exec-managerial,Husband,White,1,13,0,40,Japan,0
275,51,Private,118529,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States,0
276,32,State-gov,105311,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,45,China,0
