,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
137,25,Private,267437,9,Never-married,Handlers-cleaners,Own-child,White,1,0,0,34,United-States,0
138,19,Private,212777,9,Never-married,Other-service,Own-child,White,0,0,0,67,United-States,0
139,30,Private,175593,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,0,2165,50,India,0
140,41,Private,188443,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,1945,50,United-States,0
141,23,Private,108780,12,Never-married,Tech-support,Not-in-family,White,0,0,0,45,United-States,0
142,29,Private,311662,13,Never-married,Exec-managerial,Not-in-family,White,0,0,2741,60,United-States,0
143,44,Private,162578,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,1,0,727,11,South,0
144,49,Private,320084,14,Divorced,Exec-managerial,Not-in-family,White,1,0,0,46,United-States,0
145,36,Private,232813,9,Never-married,Priv-house-serv,Own-child,White,0,0,0,58,United-States,0
146,27,Self-emp-inc,91382,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,55,Germany,0
147,29,Private,257530,7,Never-married,Other-service,Other-relative,White,0,0,0,40,United-States,0
148,49,Private,207653,9,Divorced,Tech-support,Not-in-family,White,1,0,0,40,United-States,0
149,34,Private,204509,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,61,United-States,0
150,59,Private,115301,9,Never-married,Other-service,Own-child,Other,0,0,0,16,United-States,0
151,69,Private,166702,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,59,United-States,0
152,52,Never-worked,157461,9,Married-civ-spouse,?,Wife,Other,0,0,0,10,United-States,0
153,45,?,27919,9,Widowed,Other-service,Not-in-family,Black,0,0,0,20,United-States,0
154,34,Private,147438,13,Never-married,Exec-managerial,Not-in-family,White,0,0,0,40,United-States,0
155,55,Local-gov,196246,9,Never-married,Exec-managerial,Not-in-family,White,1,0,0,50,United-States,0
156,38,Private,356483,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,40,India,0
157,48,Private,107454,9,Widowed,Other-service,Not-in-family,White,0,0,0,20,United-States,0
158,23,Private,137899,9,Never-married,Other-service,Not-in-family,White,0,0,0,59,United-States,0
159,64,Self-emp-not-inc,252953,7,Divorced,Sales,Not-in-family,White,1,0,0,57,United-States,0
160,22,Private,35346,10,Never-married,Handlers-cleaners,Own-child,Other,0,0,0,40,Hungary,0
161,47,Private,304422,9,Divorced,Other-service,Unmarried,White,0,0,0,40,Philippines,0
162,29,,183876,11,Separated,,Not-in-family,White,1,0,0,50,United-States,0
163,46,Private,317942,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,878,40,United-States,0
164,57,Without-pay,109981,7,Married-civ-spouse,?,Husband,White,1,0,832,11,United-States,0
165,21,Private,39013,8,Never-married,Adm-clerical,Own-child,White,0,0,0,40,United-States,0
166,37,?,304189,9,Married-civ-spouse,Sales,Husband,White,1,0,2168,40,United-States,0
167,69,?,138123,7,Widowed,?,Not-in-family,White,0,0,0,15,United-States,0
168,66,Private,307055,9,Divorced,Adm-clerical,Not-in-family,Black,0,0,0,35,United-States,0
169,39,Private,165049,9,Divorced,Adm-clerical,Unmarried,White,0,0,0,59,United-States,0
170,21,?,123911,7,Never-married,?,Other-relative,White,1,0,0,40,United-States,0
171,46,Private,53663,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,2900,62,United-States,0
172,29,Private,165723,13,Never-married,Handlers-cleaners,Not-in-family,White,0,0,0,58,Puerto-Rico,0
173,38,Private,333639,11,Married-civ-spouse,Prof-specialty,Husband,White,1,0,2315,40,United-States,0
174,43,State-gov,391188,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,2463,50,?,0
175,26,Private,171821,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,0,0,0,33,,0
176,35,Private,194715,13,Never-married,Protective-serv,Not-in-family,White,1,0,0,52,United-States,0
177,38,Private,141263,9,Divorced,Craft-repair,Unmarried,Black,0,0,0,40,United-States,0
178,25,State-gov,150950,10,Never-married,Adm-clerical,Own-child,White,1,0,0,72,United-States,0
179,27,Private,203889,9,Married-civ-spouse,Craft-repair,Own-child,White,1,0,1497,40,United-States,0
180,55,Private,178328,9,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,55,United-States,0
181,26,Private,207292,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,Poland,0
182,20,Private,221495,3,Never-married,Tech-support,Own-child,Asian-Pac-Islander,0,0,0,40,Portugal,0
183,59,Private,162685,9,Divorced,Farming-fishing,Not-in-family,White,0,0,0,11,United-States,0
184,53,Self-emp-not-inc,157391,9,Married-civ-spouse,Other-service,Wife,White,1,0,0,17,United-States,0
185,22,Private,287340,9,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,1,0,0,40,United-States,0
186,17,Private,351492,10,Divorced,Adm-clerical,Unmarried,White,0,0,0,40,United-States,0
187,37,Private,32897,9,Never-married,Adm-clerical,Unmarried,Black,0,0,0,40,United-States,0
188,33,Private,173006,12,Divorced,Transport-moving,Not-in-family,White,0,0,0,33,United-States,0
189,41,Private,179050,9,Divorced,Craft-repair,Not-in-family,White,1,0,0,40,United-States,0
190,34,Self-emp-not-inc,244496,10,Widowed,Other-service,Unmarried,White,0,0,0,31,United-States,0
191,26,,273832,7,Never-married,,Own-child,White,1,0,0,40,United-States,0
192,44,Private,207070,12,Married-civ-spouse,Other-service,Wife,White,0,0,0,40,United-States,0
193,54,Private,275969,12,Divorced,Other-service,Not-in-family,White,1,0,0,33,United-States,0
194,58,Self-emp-not-inc,344202,10,Married-civ-spouse,Transport-moving,Husband,White,1,0,1063,59,United-States,0
195,50,Private,171592,9,Divorced,Adm-clerical,Unmarried,Black,0,0,0,16,United-States,0
196,41,Private,26794,10,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,45,United-States,0
197,21,Private,181012,5,Never-married,Other-service,Other-relative,White,0,0,0,16,Haiti,0
198,32,State-gov,30478,7,Never-married,Farming-fishing,Own-child,White,1,0,0,40,United-States,0
199,17,Private,292496,10,Never-married,Other-service,Own-child,White,1,0,0,40,United-States,0
200,36,Private,259235,14,Divorced,Prof-specialty,Not-in-family,White,0,0,0,67,Cambodia,0
201,26,Private,161257,9,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,0,0,0,40,United-States,0
202,17,?,167597,9,Never-married,?,Own-child,White,0,0,0,40,Guatemala,0
203,38,Private,91468,11,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,60,United-States,0
204,49,Private,35621,13,Never-married,Adm-clerical,Not-in-family,White,0,0,0,33,United-States,0
205,40,Private,200219,10,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,0,0,0,40,South,0
206,39,Private,314185,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States,0
207,57,Private,214957,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,1937,61,United-States,0
208,42,Private,336322,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,1,0,0,11,United-States,0
209,27,Private,251263,13,Married-civ-spouse,Craft-repair,Husband,Black,1,0,0,62,United-States,0
210,21,?,40402,9,Never-married,?,Husband,Black,0,0,0,10,United-States,0
211,34,Self-emp-not-inc,138951,11,Divorced,Craft-repair,Unmarried,White,1,0,0,40,United-States,0
212,22,Local-gov,189347,14,Never-married,Handlers-cleaners,Not-in-family,White,1,0,0,40,United-States,0
213,36,Private,139686,4,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,62,United-States,0
214,57,Private,297765,9,Married-civ-spouse,Sales,Wife,White,0,0,0,40,United-States,0
215,21,Federal-gov,239685,10,Never-married,Other-service,Own-child,White,0,0,0,36,United-States,0
216,33,Local-gov,163244,10,Never-married,Craft-repair,Not-in-family,Black,1,0,0,50,United-States,0
217,45,Private,205921,7,Married-spouse-absent,Adm-clerical,Unmarried,White,0,0,0,40,India,0
218,32,Private,149805,13,Divorced,Exec-managerial,Not-in-family,White,1,0,1920,48,United-States,0
219,59,Self-emp-not-inc,277583,9,Divorced,Priv-house-serv,Not-in-family,White,1,0,0,50,United-States,0
220,28,Private,174236,9,Never-married,Sales,Wife,White,0,0,0,50,United-States,0
221,58,Private,87919,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,57,United-States,0
222,39,Self-emp-not-inc,200034,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,2334,45,United-States,0
223,38,Private,179107,13,Divorced,Farming-fishing,Not-in-family,White,1,0,0,58,Germany,0
224,25,,328928,9,Married-civ-spouse,,Husband,White,1,0,0,8,United-States,0
225,40,Self-emp-not-inc,214708,10,Never-married,Transport-moving,Unmarried,White,0,0,0,50,United-States,0
226,17,Private,166629,10,Never-married,Machine-op-inspct,Own-child,White,1,0,0,35,United-States,0
227,32,State-gov,173574,12,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,1,0,0,40,India,0
228,41,Private,40533,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,,0
229,62,Private,133774,9,Married-civ-spouse,?,Husband,White,1,0,0,55,United-States,0
230,26,Federal-gov,201444,13,Never-married,Protective-serv,Not-in-family,White,0,0,1871,50,United-States,0
231,23,Private,203805,10,Never-married,Farming-fishing,Not-in-family,White,1,0,0,15,United-States,0
232,25,Private,174953,9,Married-civ-spouse,Exec-managerial,Husband,White,0,0,0,58,United-States,0
233,40,?,155078,11,Widowed,Sales,Not-in-family,White,0,0,0,67,United-States,0
234,64,,252234,9,Married-civ-spouse,,Husband,White,1,0,0,40,Mexico,0
235,43,Private,327551,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,1745,50,United-States,0
236,20,State-gov,176971,14,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,0,0,0,40,United-States,0
237,62,Private,411400,9,Widowed,Other-service,Not-in-family,White,0,0,0,16,United-States,0
238,28,State-gov,169452,10,Never-married,Craft-repair,Own-child,White,0,0,0,40,United-States,0
239,33,Private,172000,9,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States,0
240,38,Private,58385,9,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,12,United-States,0
241,28,Private,245590,7,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,20,Ecuador,0
242,35,?,114280,9,Married-civ-spouse,,Husband,Black,1,0,0,11,El-Salvador,0
243,59,?,218185,9,Married-civ-spouse,?,Wife,White,1,0,0,8,United-States,0
244,23,Private,336061,9,Married-spouse-absent,Other-service,Other-relative,White,1,0,0,32,United-States,0
245,33,Private,184813,7,Never-married,Exec-managerial,Wife,White,0,0,0,32,United-States,0
246,47,?,138834,9,Married-civ-spouse,?,Wife,White,0,0,0,7,United-States,0
247,30,Private,215384,11,Never-married,Exec-managerial,Husband,White,1,0,0,40,United-States,0
248,36,Private,232904,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,58,United-States,0
249,55,Self-emp-not-inc,327661,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,0,0,0,50,Mexico,0
250,45,Self-emp-not-inc,186622,9,Married-civ-spouse,?,Husband,White,1,0,0,20,United-States,0
251,57,Private,51328,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,2208,84,United-States,0
252,44,Private,114099,9,Married-civ-spouse,Transport-moving,Husband,White,0,0,0,50,United-States,0
253,48,Never-worked,30763,9,Married-civ-spouse,Sales,Wife,White,0,0,0,38,United-States,0
254,50,Private,236863,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,63,United-States,0
255,26,Private,184344,10,Married-civ-spouse,Craft-repair,Wife,White,0,0,0,40,Mexico,0
256,43,Self-emp-not-inc,277082,9,Divorced,Other-service,Unmarried,Black,0,0,0,51,United-States,0
257,30,State-gov,323052,9,Never-married,Farming-fishing,Own-child,White,1,0,0,15,United-States,0
258,55,Private,244424,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,0
259,58,Private,102387,9,Separated,Craft-repair,Unmarried,White,0,0,0,36,United-States,0
260,26,Local-gov,98773,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,1,0,1815,40,India,0
261,40,Private,203670,9,Divorced,Protective-serv,Not-in-family,Black,0,0,0,40,United-States,0
262,44,Private,178563,11,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,40,Puerto-Rico,0
263,20,Private,215247,10,Never-married,Adm-clerical,Own-child,White,1,0,0,40,United-States,0
264,52,Federal-gov,188486,9,Never-married,Machine-op-inspct,Not-in-family,White,0,0,0,50,United-States,0
265,27,Private,270158,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,55,United-States,0
266,22,Private,320589,12,Married-civ-spouse,Tech-support,Own-child,Black,0,0,0,50,United-States,0
267,41,Never-worked,103017,13,Divorced,Protective-serv,Wife,White,0,0,0,40,United-States,0
268,55,?,225791,9,Married-civ-spouse,Tech-support,Husband,White,0,0,0,35,China,0
269,54,Private,106929,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,0
270,58,?,191981,7,Married-civ-spouse,?,Husband,White,1,0,0,8,United-States,0
271,36,State-gov,257520,9,Married-civ-spouse,?,Husband,White,1,0,2062,11,United-States,0
272,46,Self-emp-not-inc,55411,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,1890,60,United-States,0
273,37,State-gov,236495,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,2570,50,United-States,0
274,35,Local-gov,190162,10,Married-spouse-absent,Adm-clerical,Not-in-family,White,0,0,2068,45,United-States,0
275,35,Private,191504,11,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,United-States,0
276,29,Private,247850,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,0,3119,40,China,0
277,21,Private,204263,9,Married-civ-spouse,Sales,Wife,White,0,0,0,40,United-States,0
278,35,Private,107745,9,Divorced,Sales,Not-in-family,White,0,0,0,56,United-States,0
