age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
34,?,42,14,Separated,e,Wife,Asian-Pac-Islander,Female,53,75,64,1
48,State-gov,16,32,Married-AF-spouse,o,Other-relative,White,Female,46,100,85,0
93,Self-emp-not-inc,71,87,Widowed,j,Wife,Other,Female,41,42,14,1
3,Private,46,43,Married-spouse-absent,d,Wife,Black,Female,85,44,66,0
98,Never-worked,11,21,Married-AF-spouse,s,Unmarried,White,Male,70,70,67,0
42,Never-worked,48,56,Divorced,r,Not-in-family,Black,Male,14,57,48,0
77,?,89,68,Widowed,i,Other-relative,White,Female,96,17,13,1
21,Federal-gov,40,99,Divorced,e,Other-relative,Other,Female,17,34,82,1
73,Self-emp-not-inc,31,55,Married-AF-spouse,f,Not-in-family,Amer-Indian-Eskimo,Female,7,47,18,1
0,Local-gov,8,85,Married-civ-spouse,o,Own-child,Amer-Indian-Eskimo,Female,93,86,87,1
10,Local-gov,7,2,Married-civ-spouse,p,Other-relative,Amer-Indian-Eskimo,Female,58,40,1,0
43,Never-worked,82,66,Divorced,o,Wife,White,Male,74,40,18,0
58,Self-emp-not-inc,13,64,Widowed,p,Unmarried,White,Female,1,94,9,0
23,Self-emp-not-inc,79,91,Never-married,y,Wife,Other,Male,70,32,30,0
59,Local-gov,10,47,Widowed,e,Own-child,Other,Male,26,15,100,1
2,State-gov,3,2,Never-married,e,Unmarried,Black,Male,93,62,35,1
98,Private,62,6,Widowed,a,Wife,Amer-Indian-Eskimo,Female,32,2,96,0
62,?,42,34,Never-married,t,Other-relative,White,Male,59,57,91,1
35,Without-pay,25,100,Widowed,z,Other-relative,Other,Female,17,16,44,1
94,Local-gov,79,63,Married-AF-spouse,r,Husband,White,Female,89,9,63,0
67,Without-pay,78,55,Never-married,a,Other-relative,Amer-Indian-Eskimo,Male,3,92,40,1
82,Local-gov,76,86,Married-AF-spouse,m,Other-relative,Asian-Pac-Islander,Female,11,82,95,0
46,Private,67,77,Married-AF-spouse,i,Husband,Black,Female,71,25,49,1
99,Self-emp-inc,68,58,Widowed,x,Wife,Other,Male,4,89,95,1
20,Federal-gov,4,24,Married-spouse-absent,f,Other-relative,Amer-Indian-Eskimo,Male,4,82,24,0
81,Private,23,61,Never-married,z,Not-in-family,Amer-Indian-Eskimo,Female,41,49,52,1
50,Without-pay,50,31,Divorced,v,Own-child,Asian-Pac-Islander,Male,80,15,78,0
27,State-gov,48,89,Divorced,f,Own-child,Asian-Pac-Islander,Female,100,36,5,1
14,?,18,0,Never-married,p,Unmarried,Asian-Pac-Islander,Female,95,89,35,1
41,Federal-gov,19,81,Married-civ-spouse,o,Husband,Amer-Indian-Eskimo,Female,28,33,2,1
58,Federal-gov,59,19,Married-civ-spouse,i,Husband,Asian-Pac-Islander,Male,52,20,55,1
65,Self-emp-not-inc,91,47,Never-married,y,Wife,Other,Female,75,72,25,1
36,Without-pay,33,60,Never-married,s,Unmarried,Asian-Pac-Islander,Female,76,53,22,1
10,?,47,100,Separated,o,Other-relative,Amer-Indian-Eskimo,Male,2,30,12,0
86,State-gov,62,7,Married-AF-spouse,a,Husband,Other,Female,53,29,66,0
43,Local-gov,80,40,Never-married,m,Husband,Other,Female,37,37,99,1
11,Federal-gov,12,1,Widowed,d,Not-in-family,Black,Male,45,70,2,1
2,Never-worked,76,83,Widowed,v,Husband,Asian-Pac-Islander,Female,7,6,5,0
51,?,8,42,Never-married,u,Own-child,Black,Male,15,31,41,1
80,?,95,77,Never-married,d,Wife,Other,Male,37,45,16,1
32,Without-pay,79,73,Never-married,w,Own-child,Black,Female,90,64,72,1
54,Private,58,96,Married-spouse-absent,a,Other-relative,Amer-Indian-Eskimo,Male,5,52,82,1
0,Without-pay,47,71,Married-civ-spouse,e,Not-in-family,Amer-Indian-Eskimo,Female,16,62,21,1
38,Self-emp-inc,14,48,Widowed,c,Not-in-family,Amer-Indian-Eskimo,Male,89,28,71,0
19,Local-gov,39,58,Widowed,r,Husband,Amer-Indian-Eskimo,Female,53,32,32,0
46,Private,20,74,Separated,a,Other-relative,Asian-Pac-Islander,Male,0,51,100,0
42,?,19,77,Married-spouse-absent,g,Wife,White,Female,72,56,39,0
56,Without-pay,64,17,Married-spouse-absent,i,Own-child,Black,Male,59,46,75,1
60,Never-worked,19,12,Married-AF-spouse,s,Own-child,Black,Female,12,15,95,0
77,Self-emp-inc,39,8,Married-spouse-absent,d,Own-child,Other,Male,37,30,45,1
30,Self-emp-not-inc,36,60,Separated,f,Husband,White,Male,38,43,61,1
24,Private,2,81,Married-civ-spouse,o,Not-in-family,Amer-Indian-Eskimo,Male,35,67,53,0
2,Private,5,64,Divorced,p,Own-child,Black,Female,57,87,53,1
3,?,29,8,Never-married,e,Unmarried,Black,Male,15,55,34,1
94,State-gov,52,35,Married-civ-spouse,g,Other-relative,Amer-Indian-Eskimo,Female,92,6,42,0
98,Self-emp-not-inc,14,70,Widowed,j,Not-in-family,Amer-Indian-Eskimo,Male,95,72,98,0
13,Private,96,57,Widowed,y,Unmarried,White,Female,83,31,97,0
40,Without-pay,98,33,Widowed,b,Not-in-family,Asian-Pac-Islander,Female,69,22,74,0
72,Federal-gov,86,79,Married-AF-spouse,x,Wife,Amer-Indian-Eskimo,Female,31,19,87,1
19,Self-emp-not-inc,78,95,Divorced,d,Other-relative,Black,Male,50,26,69,1
95,Private,7,34,Married-civ-spouse,z,Unmarried,Black,Female,62,50,92,1
72,Self-emp-inc,28,89,Never-married,f,Wife,Amer-Indian-Eskimo,Female,21,70,95,0
26,Private,3,33,Divorced,t,Unmarried,Amer-Indian-Eskimo,Male,0,67,88,1
66,State-gov,100,61,Widowed,c,Other-relative,Amer-Indian-Eskimo,Female,44,57,35,0
52,Local-gov,41,50,Never-married,i,Own-child,Amer-Indian-Eskimo,Female,49,71,51,1
67,Self-emp-not-inc,45,78,Widowed,s,Wife,White,Male,49,60,89,1
61,?,50,90,Married-spouse-absent,r,Unmarried,White,Female,51,9,17,0
14,?,28,27,Divorced,o,Husband,Amer-Indian-Eskimo,Female,100,3,31,1
96,State-gov,88,29,Never-married,b,Not-in-family,Other,Male,93,16,59,0
4,Private,67,58,Married-civ-spouse,x,Husband,Amer-Indian-Eskimo,Female,49,90,8,0
67,Without-pay,61,83,Separated,s,Other-relative,Black,Male,18,38,53,1
11,Federal-gov,55,14,Married-spouse-absent,x,Own-child,White,Male,31,15,12,0
86,?,74,8,Separated,k,Unmarried,Other,Female,49,40,92,0
77,Never-worked,21,51,Married-AF-spouse,a,Not-in-family,White,Female,61,5,43,1
75,Private,33,88,Separated,y,Own-child,White,Male,8,89,16,0
56,Private,78,14,Separated,h,Wife,Black,Female,15,29,87,1
16,?,58,67,Married-civ-spouse,o,Other-relative,Other,Male,61,46,56,0
24,Federal-gov,33,81,Divorced,t,Other-relative,White,Male,93,94,47,0
29,?,75,62,Married-civ-spouse,k,Other-relative,Black,Male,84,44,60,0
21,State-gov,94,69,Married-AF-spouse,f,Unmarried,Amer-Indian-Eskimo,Female,57,29,68,1
25,Local-gov,73,27,Divorced,v,Not-in-family,White,Male,68,57,21,0
80,Without-pay,89,33,Married-civ-spouse,a,Not-in-family,Other,Female,19,94,16,0
60,Self-emp-not-inc,38,30,Married-spouse-absent,d,Not-in-family,Amer-Indian-Eskimo,Female,18,2,32,1
61,Never-worked,22,26,Married-civ-spouse,g,Own-child,Amer-Indian-Eskimo,Male,44,30,92,1
83,State-gov,76,30,Married-spouse-absent,j,Other-relative,Black,Male,80,58,43,1
33,Without-pay,31,26,Married-spouse-absent,o,Unmarried,Asian-Pac-Islander,Male,85,53,14,1
32,Self-emp-not-inc,43,77,Widowed,a,Wife,Asian-Pac-Islander,Female,93,13,19,1
100,Private,72,76,Never-married,c,Not-in-family,Asian-Pac-Islander,Female,7,100,87,1
70,Federal-gov,79,3,Widowed,j,Other-relative,Amer-Indian-Eskimo,Male,13,86,90,0
85,Self-emp-inc,57,4,Married-spouse-absent,s,Other-relative,Amer-Indian-Eskimo,Male,83,63,43,1
31,Private,99,65,Married-civ-spouse,i,Husband,Black,Male,23,94,62,1
13,Self-emp-inc,73,15,Never-married,k,Wife,White,Male,99,12,53,0
71,Without-pay,43,24,Divorced,b,Husband,Black,Female,79,6,88,0
56,Private,31,28,Married-AF-spouse,t,Husband,Amer-Indian-Eskimo,Male,46,1,97,0
24,Self-emp-not-inc,92,4,Married-spouse-absent,q,Unmarried,Other,Male,87,89,23,1
79,Local-gov,36,73,Married-civ-spouse,u,Not-in-family,Amer-Indian-Eskimo,Male,55,73,74,0
41,Without-pay,20,12,Divorced,e,Other-relative,White,Male,68,16,10,0
18,Never-worked,60,26,Separated,k,Husband,Asian-Pac-Islander,Female,24,84,83,0
40,Private,18,73,Never-married,c,Own-child,Asian-Pac-Islander,Female,13,92,9,1
54,Without-pay,74,90,Married-civ-spouse,e,Husband,White,Male,10,8,4,0
79,?,23,87,Never-married,v,Other-relative,Other,Male,44,89,47,0
11,Local-gov,62,63,Divorced,p,Unmarried,White,Male,50,95,29,0
38,Local-gov,64,57,Never-married,c,Wife,Other,Female,74,67,84,1
93,Local-gov,82,2,Never-married,u,Wife,Other,Female,35,41,37,0
1,Private,78,24,Married-AF-spouse,x,Unmarried,Amer-Indian-Eskimo,Female,87,55,54,0
95,Local-gov,60,90,Married-civ-spouse,g,Unmarried,Other,Male,36,64,35,0
44,Federal-gov,51,12,Widowed,j,Husband,Amer-Indian-Eskimo,Female,9,15,43,1
88,?,34,88,Married-spouse-absent,w,Other-relative,White,Male,97,52,28,1
24,Without-pay,1,15,Divorced,i,Husband,Asian-Pac-Islander,Male,100,37,10,1
67,State-gov,73,31,Widowed,d,Unmarried,Amer-Indian-Eskimo,Female,89,63,5,0
82,Self-emp-not-inc,13,96,Married-AF-spouse,o,Not-in-family,Other,Female,64,69,36,1
3,Self-emp-inc,96,23,Married-civ-spouse,h,Wife,Amer-Indian-Eskimo,Male,74,97,51,0
76,?,85,22,Divorced,c,Other-relative,Asian-Pac-Islander,Male,28,62,66,0
35,?,92,55,Widowed,o,Unmarried,Amer-Indian-Eskimo,Male,5,83,90,1
86,Federal-gov,60,40,Divorced,a,Own-child,Other,Female,86,85,69,0
61,Self-emp-not-inc,72,34,Divorced,p,Husband,Amer-Indian-Eskimo,Female,82,16,34,1
69,Federal-gov,52,31,Widowed,i,Husband,White,Male,49,39,76,1
87,Never-worked,47,74,Married-civ-spouse,j,Wife,Black,Male,55,91,87,0
43,Self-emp-inc,81,11,Divorced,x,Not-in-family,Black,Male,76,19,56,1
32,State-gov,73,81,Married-AF-spouse,r,Other-relative,Black,Female,24,46,76,0
11,State-gov,10,79,Married-spouse-absent,z,Unmarried,Other,Female,81,84,59,1
84,Self-emp-inc,86,95,Never-married,v,Other-relative,Asian-Pac-Islander,Male,45,14,8,0
10,?,86,24,Widowed,l,Other-relative,Other,Male,2,32,97,1
54,Never-worked,47,25,Never-married,p,Own-child,Black,Male,31,47,34,1
37,Private,7,61,Separated,g,Wife,Other,Female,55,27,31,0
28,Private,55,100,Divorced,y,Unmarried,Black,Male,28,28,71,1
2,State-gov,0,43,Never-married,i,Other-relative,Other,Male,5,22,90,0
27,State-gov,95,91,Married-civ-spouse,u,Wife,Asian-Pac-Islander,Male,19,66,40,0
83,Private,78,92,Married-spouse-absent,h,Unmarried,Black,Male,43,5,71,1
89,State-gov,8,3,Married-civ-spouse,d,Other-relative,Amer-Indian-Eskimo,Female,28,61,51,0
23,?,69,83,Married-spouse-absent,x,Husband,Black,Female,66,79,16,0
53,State-gov,96,84,Married-civ-spouse,g,Husband,Amer-Indian-Eskimo,Male,92,24,6,1
51,Never-worked,42,8,Married-civ-spouse,u,Other-relative,White,Male,0,24,25,0
46,Federal-gov,71,99,Married-spouse-absent,z,Not-in-family,White,Female,100,50,11,1
20,?,64,86,Never-married,q,Not-in-family,White,Female,49,50,27,0
53,Without-pay,90,82,Divorced,g,Not-in-family,White,Male,35,55,68,1
29,Never-worked,79,81,Married-civ-spouse,p,Unmarried,Black,Female,20,96,11,1
67,Local-gov,50,51,Married-spouse-absent,j,Other-relative,Amer-Indian-Eskimo,Male,51,63,14,0
35,State-gov,32,64,Divorced,l,Other-relative,Black,Female,33,88,32,0
39,Federal-gov,84,98,Separated,u,Other-relative,Other,Male,10,29,87,1
9,Private,96,94,Married-civ-spouse,e,Not-in-family,Amer-Indian-Eskimo,Female,17,19,44,1
73,Private,92,76,Married-AF-spouse,j,Husband,Black,Male,23,6,69,1
41,Local-gov,40,97,Separated,b,Wife,Amer-Indian-Eskimo,Female,63,81,91,0
23,Self-emp-inc,45,18,Married-AF-spouse,m,Wife,Asian-Pac-Islander,Male,44,64,58,1
3,Local-gov,0,81,Widowed,y,Own-child,Amer-Indian-Eskimo,Male,2,76,3,1
46,Without-pay,62,57,Separated,j,Wife,Black,Male,45,28,93,0
90,Self-emp-not-inc,3,57,Never-married,y,Husband,Black,Male,88,80,31,0
50,Federal-gov,97,43,Divorced,p,Own-child,Black,Male,96,50,98,1
3,?,86,85,Divorced,o,Own-child,Black,Female,62,90,53,1
31,Self-emp-not-inc,47,82,Widowed,d,Wife,Other,Male,42,27,75,0
9,Never-worked,53,12,Married-spouse-absent,s,Not-in-family,Amer-Indian-Eskimo,Male,45,16,75,0
10,Federal-gov,94,60,Never-married,g,Not-in-family,Black,Male,89,11,31,0
27,Local-gov,11,28,Widowed,v,Own-child,Amer-Indian-Eskimo,Male,52,95,87,1
45,Self-emp-inc,48,16,Married-spouse-absent,x,Not-in-family,Black,Male,97,22,5,0
71,Self-emp-inc,3,52,Divorced,o,Wife,Other,Male,69,68,65,1
39,Without-pay,87,49,Separated,x,Own-child,Black,Female,85,52,52,1
61,Self-emp-not-inc,95,100,Separated,j,Own-child,White,Male,26,24,16,0
85,Self-emp-not-inc,95,98,Separated,t,Other-relative,Asian-Pac-Islander,Female,29,21,87,1
97,Private,56,16,Widowed,q,Own-child,White,Female,5,57,99,0
44,Without-pay,94,51,Married-spouse-absent,y,Husband,Black,Male,86,15,68,1
34,Self-emp-not-inc,28,78,Separated,t,Wife,Amer-Indian-Eskimo,Male,94,58,56,0
34,Private,68,47,Never-married,u,Husband,Other,Male,41,25,97,1
88,Self-emp-inc,100,28,Married-spouse-absent,t,Other-relative,Amer-Indian-Eskimo,Male,44,47,56,0
33,Private,34,80,Married-spouse-absent,o,Other-relative,Amer-Indian-Eskimo,Male,33,64,66,1
5,Private,77,78,Married-civ-spouse,d,Unmarried,White,Male,38,77,31,0
36,Self-emp-not-inc,71,46,Married-civ-spouse,y,Husband,Amer-Indian-Eskimo,Female,89,70,61,0
0,Self-emp-inc,42,35,Separated,x,Wife,Other,Female,99,48,86,0
75,Self-emp-not-inc,0,13,Married-AF-spouse,r,Own-child,Black,Female,26,52,5,1
34,Self-emp-inc,43,68,Married-civ-spouse,h,Other-relative,Other,Female,39,0,13,1
69,State-gov,58,92,Separated,s,Not-in-family,Amer-Indian-Eskimo,Female,95,69,57,0
53,Private,46,89,Separated,b,Unmarried,Asian-Pac-Islander,Male,58,77,73,0
80,Private,16,42,Widowed,q,Own-child,Other,Male,50,60,6,1
62,Without-pay,33,95,Married-civ-spouse,e,Not-in-family,White,Female,65,65,14,1
8,?,30,65,Married-AF-spouse,p,Own-child,White,Male,23,12,22,1
61,Never-worked,34,31,Divorced,h,Other-relative,White,Female,72,6,56,0
1,?,16,1,Married-civ-spouse,t,Husband,Black,Female,10,85,24,0
81,Self-emp-not-inc,0,25,Never-married,b,Wife,Amer-Indian-Eskimo,Female,72,45,14,1
35,?,76,50,Married-AF-spouse,l,Unmarried,Asian-Pac-Islander,Male,31,64,53,1
91,State-gov,3,45,Never-married,n,Own-child,Other,Male,53,50,64,0
40,Federal-gov,41,17,Divorced,s,Other-relative,Other,Male,4,70,99,1
36,Self-emp-not-inc,91,15,Divorced,x,Wife,White,Female,22,4,80,1
48,Self-emp-not-inc,93,42,Widowed,b,Wife,White,Female,28,30,53,1
25,Self-emp-not-inc,44,43,Married-civ-spouse,t,Own-child,Asian-Pac-Islander,Female,89,50,99,1
67,Self-emp-not-inc,99,51,Divorced,g,Unmarried,White,Female,73,91,25,1
35,Never-worked,15,73,Divorced,r,Wife,Other,Female,92,88,70,0
30,?,34,21,Married-AF-spouse,s,Husband,Amer-Indian-Eskimo,Male,90,7,59,1
29,Without-pay,29,44,Never-married,e,Not-in-family,Black,Male,40,90,55,1
33,Federal-gov,35,32,Married-civ-spouse,z,Husband,Other,Male,22,36,80,0
18,Federal-gov,50,21,Separated,g,Other-relative,Other,Male,33,21,55,1
17,?,33,85,Never-married,m,Husband,Black,Female,34,9,33,1
93,Private,25,43,Married-AF-spouse,b,Own-child,Amer-Indian-Eskimo,Male,22,20,19,1
84,Federal-gov,58,49,Never-married,j,Not-in-family,White,Male,88,14,56,1
2,?,69,53,Married-spouse-absent,z,Not-in-family,Asian-Pac-Islander,Male,66,56,34,1
69,State-gov,41,10,Widowed,r,Husband,Other,Male,39,49,80,1
12,Local-gov,12,52,Never-married,a,Husband,Other,Male,99,13,6,0
44,Without-pay,69,16,Married-AF-spouse,w,Unmarried,Black,Male,31,89,100,1
66,Self-emp-not-inc,22,27,Married-AF-spouse,q,Unmarried,Black,Female,55,39,0,1
91,?,11,84,Married-civ-spouse,t,Unmarried,Asian-Pac-Islander,Male,47,38,23,0
85,Without-pay,74,19,Married-civ-spouse,z,Wife,Asian-Pac-Islander,Male,27,71,25,1
39,Private,29,42,Widowed,z,Not-in-family,Asian-Pac-Islander,Male,76,95,70,0
39,Self-emp-not-inc,65,20,Widowed,i,Other-relative,Other,Female,4,27,85,0
75,Without-pay,96,2,Married-AF-spouse,m,Wife,Other,Male,79,15,11,1
